"Task Name"
"Apex Legends mobile"
"Apex Legends spitfire"
"Apex Legends car"
"Apex Legends r99"
"Apex Legends mozambique"
"Apex Legends volt"
"Apex Legends eva 8"
"Apex Legends mastiff"
"Apex Legends kraber"
"Apex Legends Rampage"
"Apex Legends Peacekeeper"
"Apex Legends Prowler"
"Apex Legends landing spots"
"Apex Legends Ash"
"Apex Legends twitch drops"
"Apex Legends Ash"
"Apex Legends PS5"
"apex legends arenas ranked"
"Apex Legends patch notes"
"Apex Legends Conduit"
"Apex Legends Caliber"
"Apex Legends Scryer"
"Apex Legends Heirlooms"
"Apex Legends season 16 hub"
"Apex legends ranked"
"Apex Legends Best Legends"
"Apex Legends best guns"
"Apex Legends Map Rotation"
