"Task ID","Task Name","Assignee","Due Date","Retime frequency (drop down)","CMS LINK (url)","Content Type (drop down)","Genre ES (labels)"
"862jmtyjj","Best Movies To Watch This Valentine's Day If You're Broken Hearted","[]","Thursday, December 14th 2023","","","",""
"862jmtyjk","Best Movies To Watch This Valentine's Day If You're Single","[]","Thursday, December 14th 2023","","","",""
"862jmtyjm","Best Movies To Watch This Valentine's Day For A Romantic Date Night On Netflix","[]","Thursday, December 14th 2023","","","",""
"862jmu103","Is Keanu Reeves Returning for Constantine 2?","[]","","","","",""
"862jmu104","What is the Role of Keanu Reeves in Constantine 2?","[]","","","","",""
"862jmu1ab","Elemental Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Pixar Movie","[]","","","","",""
"862jmu1c2","Extraction 2 Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Netflix Movie","[]","","","","",""
"862jmu1qh","Ghosted Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Upcoming Movie","[]","","","","",""
"862jmu1y7","Inside Out 2 Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Pixar Movie","[]","","","","",""
"862jmu3ju","Peter Pan & Wendy Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Disney Movie","[]","","","","",""
"862jmuj83","Will There Be a Sonic the Hedgehog 3?","[]","","","","",""
"862jmujcu","The Little Mermaid Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Disney Movie","[]","","","","",""
"862jmujp9","Transformers: Rise of the Beasts Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Movie","[]","","","","",""
"862jmuj9r","Tetris Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Movie","[]","","","","",""
"862jmuj9t","Is Tetris Based On A True Story?","[]","","","","",""
"862jmuj9v","Tetris Movie: Is It Out Yet on Disney Plus, Netflix, Apple TV+ or Hulu? Where and When to Watch Stream","[]","","","","",""
"862jmuj8v","The Ballad of Songbirds and Snakes: Release Date, Cast, Plot, Trailer, News, and Everything You Need to Know","[]","","","","",""
"862jmuj8f","Is There A Post-Credits Scene In The Super Mario Bros. Movie Explained","[]","","","","",""
"862jmuj8h","When Is The Streaming Release Date For The Super Mario Bros. Movie?","[]","","","","",""
"862jmuj8j","Will There Be The Super Mario Bros. Movie 2?","[]","","","","",""
"862jmu2tj","Mighty Morphin Power Rangers: Once & Always Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Netflix Movie","[]","","","","",""
"862jmu1zx","Is the Jurassic Park Book Different Than the Movie?","[]","","","","",""
"862jmu1zy","Why is The Lost World Movie So Different From the Book?","[]","","","","",""
"862jmu1zz","Is the Jurassic Park Book Kid Friendly?","[]","","","","",""
"862jmu200","Is the Jurassic Park Movie or Book Better?","[]","","","","",""
"862jmu201","What Is the Correct Order of the Jurassic Park Movies?","[]","","","","",""
"862jmu202","When Is Camp Cretaceous Season 5 Coming Out?","[]","","","","",""
"862jmu203","Is Camp Cretaceous Season 5 The Last Season?","[]","","","","",""
"862jmu1zg","What Does The Title Mean for Joker 2: Folie À Deux?","[]","","","","",""
"862jmu1u0","Hocus Pocus 2","[]","","","","",""
"862jmu1u2","Who is Mother Witch in Hocus Pocus 2?","[]","","","","",""
"862jmu1u4","Will There Be Hocus Pocus 3?","[]","","","","",""
"862jmu1u6","Are The Original Cast in Hocus Pocus 2?","[]","","","","",""
"862jmu1n5","Fast X Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Movie","[]","","","","",""
