"Task ID","Task Name","Assignee","Due Date","Priority","CMS LINK (url)","Retime frequency (drop down)","Status","Genre of Content (labels)"
"862k70h8j","EA FC Heroes","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;cd1271c9-a628-4022-a461-7fb60b58ad39","","article published",""
"862k7zpxh","EA FC Women's Ratings: The best female players in EA FC 24","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;aa65be99-28cb-4389-bc06-dcf46ed225cc","","article published",""
"863h6afxt","EA Sports FC Leagues","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;3af288eb-b01d-492a-ba54-ddf97532fa32","","article published",""
"861n6hc4k","EA FC 23: New changes in Squad Battles and AI","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;c243d758-e8e7-4e38-82fa-0c1b44d03bf7","","article published",""
"863h6acgg","EA Sports FC Ultimate Team Hub","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;54d17307-df2a-4a72-b22b-75a3c6d09e2f","","article published",""
"863h8m1wn","EA FC Nintendo Switch","[]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;153fd0e5-db87-4cf7-9e8c-fd6d9c285dd2%2Ctemplate%3Darticle","","article published",""
"862k9ngcx","EA FC 24 Clubs: Everything you need to know","[Nathan Salmon]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;fd8ad594-b823-4e12-83d3-e7440ef03eb4","","article published",""
"863h6acvy","EA Sports FC Icons","[Riccardo Martone]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;8bddda3b-fabe-4e1a-b638-1b8bc757672a","","to update",""
"862k57jjv","EA FC Controlled Sprint: What it is & how to use","[]","Wednesday, July 19th 2023, 8:00:00 am +01:00","none","","","to update",""
"862k57jjv","EA FC Controlled Sprint: What it is & how to use","[]","Wednesday, July 19th 2023, 8:00:00 am +01:00","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;c787bb66-0a74-44d8-ac7d-546f9e32544c","","to update",""
"862k57jmj","EA FC Precision Pass: What it is & how to use","[]","Wednesday, July 19th 2023, 8:00:00 am +01:00","none","","","to update",""
"862k57jmj","EA FC Precision Pass: What it is & how to use","[]","Wednesday, July 19th 2023, 8:00:00 am +01:00","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;32d84703-4e0c-4315-b33d-340fce4fbfe8%2Ctemplate%3Darticle","","to update",""
"862kazjcg","Are The EA FC 24 Servers Down? Downtime, status, more","[]","Sunday, August 27th 2023","none","","","to write",""
"862katxgt","Controls guide","[]","","none","","","to write",""
"862katxju","Master passing in EA FC 24","[]","","none","","","to write",""
"862katxm0","How to dribble like a god in EA FC 24","[]","","none","","","to write",""
"862katxn4","EA FC 24 Defending Guide","[]","","none","","","to write",""
"863h6prvt","EA FC Clubs - is it crossplatform?","[Nathan Salmon]","Thursday, August 17th 2023","URGENT","https://latest-content.gfinityesports.com/realsport-production/desk/articles;byAuthor;984c0737-2d67-40fb-bbdc-d9cc9a8288b0;6f27bae6-689d-458c-8292-1311b50c0af3","","complete",""
"863h6pu3j","What is EA FC Clubs?","[Nathan Salmon]","","none","https://content.gfinityesports.com/realsport-production/desk/workflow;mydraft;381e3dcf-c03b-4ecb-8fb9-9265bf48411f","","complete",""
"861n6pkhz","EA FC 24: Clubs Deep Dive Countdown","[]","","none","https://latest-content.gfinityesports.com/realsport-production/desk/workflow;mydraft;f1d4bc26-215b-4c23-bc0f-d1498fb8733b%2Ctemplate%3Darticle","","complete",""
