"Google United Kingdom, interface language: English"
Keyword,URL,"Content Score",Tags,"Search vol.","Website SERP Features","Found SERP Features",2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics,2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics,2026-02-10,Dynamics,2026-02-11,Dynamics,2026-02-12,Dynamics,2026-02-13,Dynamics,2026-02-14,Dynamics,2026-02-15,Dynamics,2026-02-16,Dynamics,2026-02-17,Dynamics,2026-02-18,Dynamics,2026-02-19,Dynamics,2026-02-20,Dynamics,2026-02-21,Dynamics,2026-02-22,Dynamics,2026-02-23,Dynamics,2026-02-24,Dynamics,2026-02-25,Dynamics,2026-02-26,Dynamics,2026-02-27,Dynamics,2026-02-28,Dynamics,2026-03-01,Dynamics,2026-03-02,Dynamics
"cyber security",https://www.6dg.co.uk/blog/what-is-cyber-security/,70,,33100,,"Reviews, Video, Top stories, People also ask, Images, Knowledge Panel, AI Overview",51,0,50,1,60,-10,23,37,41,-18,48,-7,50,-2,49,1,47,2,29,18,63,-34,51,12,60,-9,64,-4,30,34,61,-31,62,-1,63,-1,49,14,60,-11,70,-10,64,6,-,0,44,56,-,0,72,28,-,0,70,30,71,-1,70,1
"Cloud adoption framework",https://www.6dg.co.uk/solution/cloud-adoption-framework/,-,,18100,,"Reviews, Video, People also ask, Images, Find results on",7,0,10,-3,7,3,5,2,5,0,6,-1,11,-5,10,1,7,3,9,-2,9,0,7,2,7,0,5,2,6,-1,6,0,5,1,6,-1,8,-2,5,3,10,-5,5,5,5,0,6,-1,11,-5,5,6,5,0,6,-1,5,1,7,-2
"Microsoft security essentials",,-,,10800,,"Reviews, Video, People also ask, Images, Knowledge Panel, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"pen testing",https://www.6dg.co.uk/blog/what-is-penetration-testing/,76,"Current Target",8000,,"Reviews, Video, People also ask, Images, Knowledge Panel, Find results on, AI Overview",-,0,-,0,-,0,-,0,75,25,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,34,66,37,-3,36,1,34,2,34,0,-,0,-,0,-,0,-,0,-,0,45,55,49,-4,-,0,87,13,78,9,86,-8
"penetration testing",https://www.6dg.co.uk/blog/what-is-penetration-testing/,73,"Current Target",8000,,"Reviews, Video, People also ask, Images, Knowledge Panel, AI Overview",42,0,40,2,17,23,17,0,73,-56,75,-2,43,32,37,6,37,0,37,0,73,-36,73,0,37,36,41,-4,36,5,34,2,40,-6,38,2,39,-1,50,-11,93,-43,96,-3,-,0,74,26,73,1,77,-4,80,-3,78,2,76,2,73,3
"what is cyber security",https://www.6dg.co.uk/blog/what-is-cyber-security/,-,,6600,,"Video, People also ask, Images, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"pen test",https://www.6dg.co.uk/blog/what-is-penetration-testing/,63,"Current Target",6600,,"Reviews, Video, People also ask, Images, Knowledge Panel, AI Overview",37,0,35,2,43,-8,30,13,-,0,35,65,40,-5,40,0,44,-4,41,3,-,0,29,71,34,-5,34,0,22,12,29,-7,33,-4,39,-6,37,2,41,-4,-,0,-,0,-,0,-,0,-,0,-,0,77,23,73,4,-,0,-,0
mdr,https://www.6dg.co.uk/what-is-mdr/,64,,4400,,"Reviews, Video, People also ask, Knowledge Panel, AI Overview",-,0,-,0,-,0,-,0,35,65,55,-20,55,0,33,22,36,-3,"No data","No data",56,0,58,-2,43,15,51,-8,30,21,57,-27,67,-10,34,33,33,1,32,1,24,8,28,-4,39,-11,-,0,50,50,35,15,33,2,-,0,-,0,-,0
"microsoft azure",,-,,2900,,"Reviews, Sitelinks, Video, People also ask, Knowledge Panel, AI Overview",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"What is a penetration test",https://www.6dg.co.uk/blog/what-is-penetration-testing/,82,"Current Target",1600,,"Reviews, Video, People also ask, Find results on, AI Overview",12,0,7,5,7,0,7,0,-,0,9,91,14,-5,12,2,13,-1,13,0,13,0,13,0,13,0,12,1,28,-16,29,-1,53,-24,11,42,29,-18,32,-3,12,20,30,-18,26,4,15,11,10,5,8,2,16,-8,9,7,12,-3,17,-5
