Date,Clicks,Impressions,CTR,Position
2025-01-01,161,13456,1.2%,32
2025-01-02,173,13829,1.25%,32.6
2025-01-03,182,13727,1.33%,31.7
2025-01-04,178,19518,0.91%,35.9
2025-01-05,174,14524,1.2%,30.2
2025-01-06,172,14531,1.18%,35.4
2025-01-07,170,15506,1.1%,35.3
2025-01-08,164,14173,1.16%,33.2
2025-01-09,174,14574,1.19%,31.3
2025-01-10,164,13181,1.24%,28.6
2025-01-11,190,16811,1.13%,29.2
2025-01-12,214,14468,1.48%,25
2025-01-13,223,14225,1.57%,29.5
2025-01-14,191,14080,1.36%,28.9
2025-01-15,193,12476,1.55%,26.5
2025-01-16,177,11991,1.48%,26.2
2025-01-17,192,11972,1.6%,26.1
2025-01-18,196,17237,1.14%,29.1
2025-01-19,274,18213,1.5%,28.4
2025-01-20,225,13536,1.66%,25.8
2025-01-21,218,14060,1.55%,27.6
2025-01-22,174,13150,1.32%,26.4
2025-01-23,147,18356,0.8%,35.7
2025-01-24,196,16172,1.21%,28
2025-01-25,241,19000,1.27%,27.6
2025-01-26,279,16983,1.64%,23.9
2025-01-27,218,14854,1.47%,24.9
2025-01-28,185,14329,1.29%,24.8
2025-01-29,177,14762,1.2%,27.1
2025-01-30,182,13440,1.35%,26.8
2025-01-31,167,14244,1.17%,27.3
2025-02-01,198,20875,0.95%,30.2
2025-02-02,268,18219,1.47%,24.9
2025-02-03,214,16775,1.28%,27.4
2025-02-04,203,16181,1.25%,27.4
2025-02-05,205,17409,1.18%,28.6
2025-02-06,168,16330,1.03%,27.4
2025-02-07,205,16273,1.26%,27.7
2025-02-08,230,20668,1.11%,29
2025-02-09,315,18350,1.72%,24.8
2025-02-10,240,17494,1.37%,27.9
2025-02-11,216,16171,1.34%,27
2025-02-12,190,16238,1.17%,27
2025-02-13,160,16125,0.99%,28.2
2025-02-14,192,16156,1.19%,29.2
2025-02-15,247,22527,1.1%,29.3
2025-02-16,291,19304,1.51%,24.6
2025-02-17,259,18411,1.41%,24.9
2025-02-18,251,16275,1.54%,24.2
2025-02-19,221,17465,1.27%,26.2
2025-02-20,194,19779,0.98%,29.7
2025-02-21,205,20882,0.98%,31.4
2025-02-22,248,32156,0.77%,36.6
2025-02-23,308,21766,1.42%,26.2
2025-02-24,233,23077,1.01%,30.7
2025-02-25,243,17815,1.36%,24
2025-02-26,217,17784,1.22%,25.1
2025-02-27,240,17297,1.39%,24.8
2025-02-28,239,18780,1.27%,26.3
2025-03-01,307,25619,1.2%,27.8
2025-03-02,396,23494,1.69%,21.6
2025-03-03,329,21520,1.53%,22.3
2025-03-04,295,20771,1.42%,24.2
2025-03-05,292,19083,1.53%,23.1
2025-03-06,283,20403,1.39%,24.3
2025-03-07,272,21128,1.29%,25.1
2025-03-08,373,27736,1.34%,24.9
2025-03-09,478,25766,1.86%,19
2025-03-10,399,22355,1.78%,20.6
2025-03-11,339,21571,1.57%,22.5
2025-03-12,286,20901,1.37%,23
2025-03-13,258,21032,1.23%,24
2025-03-14,266,21296,1.25%,23.9
