Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
uk,swimming,,,,,,40500,77,0.59,0.06,2810000000,Commercial,,"0.67,0.36,0.45,0.20,0.13,0.13,0.30,0.30,0.20,0.55,0.30,1.00",60,,
uk,Swimming costume,,,,,,27100,45,0.68,1.00,185000000,Informational,,"0.66,0.54,0.54,0.44,0.36,0.36,0.66,0.54,0.54,0.54,0.54,0.54",75,,
uk,Swimming goggles,,,,,,12100,37,0.56,1.00,143000000,"Informational, Transactional",,"0.54,0.54,0.54,0.44,0.44,0.29,0.44,0.66,0.44,0.54,0.54,0.44",75,,
uk,Swimming cap,,,,,,5400,26,0.43,1.00,210000000,"Informational, Transactional",,"0.36,0.44,0.54,0.54,0.54,0.19,0.44,0.44,0.54,0.54,0.36,0.36",75,,
uk,Swimming ear plugs,,,,,,4400,24,0.43,1.00,11200000,"Informational, Transactional",,"1.00,0.54,0.44,0.35,0.35,0.29,0.35,0.54,0.44,0.44,0.54,0.66",90,,
uk,Swimming headphones,,,,,,3600,52,0.27,1.00,160000000,Commercial,,"0.65,0.81,0.65,0.65,0.81,0.65,0.81,0.65,1.00,0.81,0.65,0.65",75,,
uk,Swimming dress,,,,,,1300,28,0.56,1.00,792000000,Informational,,"0.44,0.24,0.66,0.08,0.07,0.05,0.18,0.13,0.24,0.29,0.29,0.29",75,,
uk,back stroke,,,,,,1300,60,0.00,0.00,854000000,Informational,,"1.00,0.36,0.30,0.66,0.54,0.41,0.30,0.66,0.24,0.16,1.00,0.36",75,,
uk,breast stroke,,,,,,1300,59,0.00,0.00,233000000,Informational,,"0.36,0.22,0.65,0.20,0.20,0.36,0.43,0.22,0.29,0.20,0.43,0.36",75,,
uk,butterfly stroke,,,,,,1300,53,0.00,0.00,23800000,Informational,,"0.55,0.44,0.44,0.44,0.30,0.24,0.34,0.44,0.44,0.44,0.44,0.44",75,,
uk,swimming for weight loss,,,,,,1300,57,0.79,0.02,142000000,Commercial,,"0.52,0.44,0.52,0.36,0.10,0.13,0.44,0.44,0.44,0.44,0.27,0.44",90,,
uk,Swimming benefits,,,,,,1000,71,0.47,0.00,912000000,Commercial,,"0.29,0.29,0.29,0.22,0.20,0.16,0.29,0.29,0.22,0.29,0.22,0.22",75,,
uk,Swimming equipment,,,,,,880,28,0.44,0.98,627000000,Informational,,"0.45,0.36,0.45,0.62,1.00,0.45,0.45,0.55,0.45,0.45,0.45,0.36",75,,
uk,Swimming front crawl,,,,,,880,50,0.00,0.00,16500000,Informational,,"0.55,0.55,0.55,0.76,0.45,0.45,0.76,0.67,0.55,0.36,1.00,0.55",90,,
uk,Swimming after tattoo,,,,,,720,42,0.00,0.00,193000000,Informational,,"1.00,0.76,0.67,0.55,0.36,0.24,0.45,0.55,0.55,0.55,0.67,0.67",90,,
