,Keyword,Ranking,Traffic Source,Landing Page,Keyword Difficulty
26,swimming lessons children swiss cottage,2.0,organic,https://www.swimmingnature.com/our-pools/marriott-regents-park.html,16
4,swimming lessons adults muswell hill,1.0,organic,https://www.swimmingnature.com/our-pools/muswell-hill.html,20
29,swimming lessons kids swiss cottage,2.0,organic,https://www.swimmingnature.com/our-pools/marriott-regents-park.html,17
21,swimming lessons babies kensington,2.0,organic,https://www.swimmingnature.com/our-pools/kensington-holiday-inn.html,16
7,swimming lessons babies marylebone,1.0,organic,https://www.swimmingnature.com/our-pools/fitness-first-baker-street.html,18
24,swimming lessons children kilburn,2.0,organic,https://www.swimmingnature.com/our-pools/the-maqam-centre.html,11
6,swimming lessons babies kilburn,1.0,organic,https://www.swimmingnature.com/our-pools/the-maqam-centre.html,11
119,swimming lessons adults hackney,21.0,organic,https://www.swimmingnature.com/adults.html,20
92,swimming lessons adults notting hill,12.0,organic,https://www.swimmingnature.com/our-pools/kensington-holiday-inn.html,19
81,swimming lessons children finsbury park,9.0,organic,https://www.swimmingnature.com/our-pools/fitness-first-highbury.html,19
153,swimming lessons adults chelsea,32.0,organic,https://www.swimmingnature.com/,17
160,swimming lessons adults greenwich,34.0,organic,https://www.swimmingnature.com/,18
179,swimming lessons paddington,53.0,organic,https://www.swimmingnature.com/our-pools/the-lensbury.html,19
146,swimming lessons hackney,29.0,organic,https://www.swimmingnature.com/intensive-courses.html,19
