Country,Clicks,Impressions,CTR,Position
United Kingdom,25635,2793364,0.92%,16.78
United States,2887,581567,0.5%,21.19
Canada,758,65269,1.16%,12.18
Ireland,633,111267,0.57%,21.55
Australia,330,69745,0.47%,21.26
France,325,12893,2.52%,9.61
Germany,300,18902,1.59%,11.71
Netherlands,140,7971,1.76%,9.62
Poland,133,6506,2.04%,8.24
Russia,102,26468,0.39%,21.77
Spain,88,11015,0.8%,11.25
Sweden,85,3829,2.22%,8.05
India,83,44425,0.19%,12.38
New Zealand,82,13892,0.59%,13.69
South Africa,60,11150,0.54%,7.18
Belgium,48,3586,1.34%,13.37
Isle of Man,34,1073,3.17%,5.84
Switzerland,31,2085,1.49%,9.22
Austria,29,1778,1.63%,9.31
Guernsey,28,695,4.03%,6.34
Norway,27,1825,1.48%,9.13
Jersey,27,904,2.99%,6.02
Belarus,23,1140,2.02%,9.21
Greece,19,2124,0.89%,10.2
Italy,16,13062,0.12%,18.15
Pakistan,16,5383,0.3%,10.1
Portugal,15,2310,0.65%,9.04
Mexico,13,7654,0.17%,13.64
Denmark,13,2212,0.59%,11.42
Ukraine,12,3685,0.33%,12.68
Romania,12,2201,0.55%,10.97
Finland,11,1337,0.82%,9.57
Czechia,11,1328,0.83%,11.22
Estonia,10,617,1.62%,9.2
Malaysia,8,6758,0.12%,10.63
Turkey,8,5693,0.14%,13.83
Singapore,8,2867,0.28%,12.48
Croatia,8,925,0.86%,9.23
Brazil,7,90581,0.01%,27.9
Philippines,7,11168,0.06%,11.79
United Arab Emirates,7,4537,0.15%,12.53
Nigeria,7,2396,0.29%,6.44
Hong Kong,7,1483,0.47%,8.91
Japan,6,3420,0.18%,12.65
Thailand,6,2469,0.24%,10.66
Lithuania,6,1948,0.31%,14.8
Hungary,6,1413,0.42%,12.86
Serbia,6,1042,0.58%,9.5
Sri Lanka,5,1049,0.48%,6.28
Indonesia,4,8013,0.05%,15.14
Argentina,4,5624,0.07%,14.97
Kenya,4,2392,0.17%,7
Peru,4,1476,0.27%,13.41
Bulgaria,4,1316,0.3%,11.8
Cyprus,4,1312,0.3%,8.65
Trinidad & Tobago,4,1241,0.32%,9.78
Unknown Region,4,1150,0.35%,11.58
Latvia,4,778,0.51%,9.85
Barbados,4,645,0.62%,10.16
Slovenia,4,580,0.69%,8.58
Lebanon,4,528,0.76%,7.79
Luxembourg,4,339,1.18%,8.63
Saudi Arabia,3,4274,0.07%,12.75
Egypt,3,3636,0.08%,12.97
Taiwan,3,3134,0.1%,12.76
Colombia,3,2993,0.1%,15.16
Chile,3,1634,0.18%,11.99
Kazakhstan,3,1332,0.23%,11.26
Dominican Republic,3,1082,0.28%,12.99
Slovakia,3,695,0.43%,9.53
Tanzania,3,539,0.56%,4.86
Zimbabwe,3,532,0.56%,6.31
Iceland,3,526,0.57%,17.23
China,3,318,0.94%,14.49
Vietnam,2,9383,0.02%,17.25
Israel,2,2487,0.08%,9
Iran,2,1345,0.15%,13.11
Uzbekistan,2,1187,0.17%,12.76
Uruguay,2,728,0.27%,11.67
Costa Rica,2,596,0.34%,12.27
Puerto Rico,2,559,0.36%,6.88
Bahrain,2,423,0.47%,8.2
Mauritius,2,332,0.6%,5.08
Cayman Islands,2,212,0.94%,7.36
Bermuda,2,195,1.03%,8.71
Namibia,2,171,1.17%,5.99
Maldives,2,143,1.4%,5.29
Congo - Kinshasa,2,105,1.9%,12.93
Réunion,2,59,3.39%,6.36
Monaco,2,16,12.5%,10.75
Bangladesh,1,4596,0.02%,12.91
Morocco,1,2211,0.05%,12.69
Ghana,1,1305,0.08%,6.3
Nepal,1,1253,0.08%,7.94
Tunisia,1,1082,0.09%,13.07
Jordan,1,1041,0.1%,14.14
Jamaica,1,913,0.11%,8.81
Ethiopia,1,750,0.13%,10.6
Paraguay,1,738,0.14%,12.72
Qatar,1,615,0.16%,8.98
Albania,1,596,0.17%,9.47
Cambodia,1,556,0.18%,11.85
Bolivia,1,553,0.18%,16.58
Bosnia & Herzegovina,1,531,0.19%,12.94
Guatemala,1,511,0.2%,14.62
Malta,1,402,0.25%,6.75
Zambia,1,371,0.27%,4.1
Moldova,1,354,0.28%,9.36
Armenia,1,280,0.36%,11.67
Botswana,1,260,0.38%,6
St. Lucia,1,120,0.83%,6.28
Grenada,1,107,0.93%,10.16
Suriname,1,96,1.04%,8.15
Cape Verde,1,89,1.12%,13.24
Curaçao,1,76,1.32%,8.11
St. Kitts & Nevis,1,71,1.41%,8.51
Tajikistan,1,39,2.56%,7.56
Martinique,1,24,4.17%,7.79
Falkland Islands,1,17,5.88%,4.71
Palau,1,9,11.11%,4.33
South Korea,0,15351,0%,19.45
Ecuador,0,2842,0%,14
Iraq,0,2151,0%,15.35
Venezuela,0,1834,0%,14.53
Algeria,0,1578,0%,14.55
Uganda,0,646,0%,5.73
Georgia,0,616,0%,11.09
Oman,0,603,0%,10.08
Azerbaijan,0,564,0%,11.65
Kuwait,0,513,0%,9.99
Myanmar (Burma),0,480,0%,10.66
Bahamas,0,473,0%,7.81
Honduras,0,451,0%,14.01
Montenegro,0,409,0%,6.41
