Store code,Business name,Address,Labels,Google Search - Mobile,Google Search - Desktop,Google Maps - Mobile,Google Maps - Desktop,Calls,Messages,Bookings,Directions,Website clicks,Food orders,Food menu clicks,Hotel bookings
,,,,Number of people that viewed your Business Profile on Google Search using Mobile,Number of people that viewed your Business Profile on Google Search using Desktop,Number of people that viewed your Business Profile on Google Maps using Mobile,Number of people that viewed your Business Profile on Google Maps using Desktop,Number of interactions with the call button from your Business Profile,Number of conversations initiated from your Business Profile,Number of bookings made from your Business Profile,Number of requests for directions made from your Business Profile,Number of interactions with the website button from your Business Profile,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of Food orders placed for pickup or delivery from your Google Business Profile with an Order with Google Provider,Number of interactions with the hotel supplier's free booking link
Ang101,Swimming Nature - Dartford,"Dartford Girls' Grammar School, Shepherds Lane, Dartford DA1 2NT",,525,112,150,22,0,0,0,44,86,0,0,0
,Swimming Nature Cricklewood,"152 Cricklewood Broadway, London NW2 3ED",,106,47,222,29,7,0,0,58,47,0,0,0
Ang401,Swimming Nature - Rochester/Medway,"King's School, St Margaret's Street, Rochester ME1 1TR",,444,70,155,17,0,0,0,35,47,0,0,0
Ang1102,Swimming Nature - Maidstone,"Mecure Hotel, Hollingbourne, Maidstone ME17 1RE",,38,7,22,2,0,0,0,19,4,0,0,0
Ang804,Swimming Nature - Ramsgate/East Kent,"St Lawrence College, College Road, Ramsgate CT11 7AE",,364,52,105,11,0,0,0,42,60,0,0,0
03786661145992553914,Swimming Nature - Dubai,"01-109 Al Zahraa Techno Center, Al Raffa - Dubai - United Arab Emirates",,67,17,29,8,0,0,0,41,2,0,0,0
00018942765390127205,Swimming Nature - Weybridge,"Greenlands Farm, Walton Lane, Weybridge KT13 8QA",,27,12,18,3,0,0,0,30,6,0,0,0
Ang502,Swimming Nature - Southwark,"Darwin Court, 1 Crail Row, London SE17 1AD",,105,51,133,11,1,0,0,20,9,0,0,0
Ang701,Swimming Nature - Bexhill-on-sea/Hastings,"Battle Abbey Swimming Pool, Next to Bexhill 6th Form College, 30 Penland Road, Bexhill-on-Sea TN40 2JG",,176,42,157,17,0,0,0,66,78,0,0,0
Ang304,Swimming Nature - Rayleigh/Essex,"Sweyne Park School, Sir Walter Raleigh Drive, Rayleigh SS6 9BZ",,301,56,114,13,0,0,0,23,69,0,0,0
,Swimming Nature,"The Maqam Centre, London NW10 3HJ",,1978,1150,859,131,285,0,0,140,616,0,0,0
03048964391325926550,Swimming Nature - Banbury,"Oxford Road, Banbury OX15 4AF",,159,68,43,7,4,0,0,34,9,0,0,0
Ang504,Swimming Nature - Bromley,"Bromley High School, Blackbrook Lane, Bromley BR1 2TW",,491,135,119,9,0,0,0,28,52,0,0,0
Ang1201,Swimming Nature - Otford/Sevenoaks,"St Michaels School, Otford Court, Ortford TN14 5SA",,37,18,37,14,0,0,0,21,11,0,0,0
Ang501,Swimming Nature - Charlton/Greenwich,"Charlton Park Academy, Charlton Park Road, London SE7 8HX",,315,91,163,20,0,0,0,52,49,0,0,0
Ang306,Swimming Nature - Shenfield/Essex,"Chelmsford Road, Shenfield CM15 8SA",,226,57,87,11,0,0,0,52,46,0,0,0
Ang305,Swimming Nature - Laindon/Essex,"The James Hornsby School, Leinster Road, Laindon SS15 5NX",,165,30,72,1,0,0,0,30,21,0,0,0
03836405279020498546,Swimming Nature - Eastbourne,"7 Edward Road, Masthead Close, Eastbourne BN23 8AS",,157,30,39,9,4,0,0,43,27,0,0,0
Ang102,Swimming Nature - Dartford,"Doubletree by Hilton Hotel, Masthead Close, Crossways Business Park, Dartford DA1 6QF",,553,127,179,7,0,0,0,35,89,0,0,0
00048978576619086957,Swimming Nature - Kensington,"Wrights Lane, London W8 5SP",,14,13,25,3,0,0,0,21,7,0,0,0
02007214386625493977,Swimming Nature - Grove Park,"35 Marvels Lane, London SE12 9PN",,25,13,47,12,0,0,0,44,8,0,0,0
Ang802,Swimming Nature - Whitstable/East Kent,"Tree Tops Retreat Spa, Wraik Hill, Whitstable CT5 3BY",,111,16,29,3,0,0,0,32,3,0,0,0
Ang201,Swimming Nature - Cobham/Gravesend,"Cobham Hall School, Cobham Hall, Brewers Road, Cobham DA12 3BL",,195,48,108,21,0,0,0,33,33,0,0,0
Ang402,Swimming Nature - Rochester/Medway,"Hilltop Primary School, Hilltop Road, Rochester ME2 4QN",,434,67,87,11,0,0,0,28,48,0,0,0
Ang601,Swimming Nature - Surrey,"Notre Dame School, Convent Lane, Cobham, Surrey, Cobham KT11 1HA",,296,88,198,32,0,0,0,56,58,0,0,0
Ang301,Swimming Nature - Brentwood/Essex,"Brentwood County High, Seven Arches Road, Brentwood CM14 4JF",,469,112,182,20,0,0,0,39,60,0,0,0
Ang801,Swimming Nature - Whitstable/East Kent,"Joy Lane Primary School, Joy Lane, Whitstable CT5 4LT",,265,38,109,8,0,0,0,35,40,0,0,0
