I,slug,views,revenue,rpm,cpm,viewability,fillRate,impressionsPerPageview
0,/article/does-falin-die-delicious-in-dungeon,14373,92.81,6.45,1.08,0.6,0.7,5.92
1,/article/bl-anime-on-crunchyroll,9994,179.52,17.96,0.79,0.63,0.88,22.49
2,/article/haikyuu-final-movie-release-date-trailer-plot-studio-all-you-need-to-know,8851,32.04,3.62,0.86,0.58,0.6,4.18
3,/article/who-does-ayanokoji-kiyotaka-end-up-with-classroom-of-the-elite,8678,54.12,6.23,0.97,0.68,0.61,6.41
4,/article/why-is-blackthorne-eating-natto-weird-shogun,8418,160.81,19.1,1.74,0.69,0.93,10.95
5,/article/7th-time-loop-season-2-release-date-news,7161,50.86,7.1,1.3,0.63,0.75,5.44
6,/article/minowara-shogun,6694,91.83,13.71,1.37,0.71,0.92,9.97
7,/article/sandra-westgate-masters-of-the-air,6282,68.05,10.83,1.05,0.7,0.93,10.28
8,/article/jo-frederick-constellation,5482,105.68,19.27,1.34,0.72,0.86,14.34
9,/article/does-dante-die-on-general-hospital,5433,85.37,15.71,1.42,0.81,0.95,11.01
10,/article/susie-glass-the-gentlemen,5380,50.88,9.45,1.11,0.65,0.94,8.5
11,/article/did-jo-kill-magnus-constellation,5358,77.78,14.51,1.13,0.75,0.86,12.78
12,/article/obi-wan-kenobi-season-2-unlikely-to-happen,5308,71.69,13.5,1.63,0.61,0.98,8.24
13,/article/stephanie-code-8,5098,101.69,19.94,1.47,0.68,0.9,13.49
14,/article/does-kai-die-in-halo,4954,81.78,16.5,1.31,0.73,0.89,12.55
15,/article/obi-wan-kenobi-season-2-unlikely-to-happen/,4900,53.94,11.0,1.43,0.61,0.98,7.64
16,/article/vasco-rodrigues-shogun,4877,82.59,16.93,1.66,0.66,0.92,10.15
17,/article/why-is-minion-called-chum-megamind,4842,97.77,20.19,1.66,0.66,0.92,12.13
18,/article/who-is-yuna-bennett-the-signal,4833,98.03,20.28,1.56,0.64,0.93,12.93
19,/article/how-many-megamind-movies-are-there,4824,106.32,22.04,1.65,0.65,0.92,13.35
