"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2025-12-31,Dynamics,2026-01-03,Dynamics,2026-01-06,Dynamics,2026-01-09,Dynamics,2026-01-12,Dynamics,2026-01-13,Dynamics,2026-01-14,Dynamics,2026-01-15,Dynamics,2026-01-16,Dynamics,2026-01-17,Dynamics,2026-01-18,Dynamics,2026-01-19,Dynamics,2026-01-20,Dynamics,2026-01-21,Dynamics,2026-01-22,Dynamics,2026-01-23,Dynamics,2026-01-24,Dynamics,2026-01-25,Dynamics,2026-01-26,Dynamics,2026-01-27,Dynamics,2026-01-28,Dynamics,2026-01-29,Dynamics,2026-01-30,Dynamics,2026-01-31,Dynamics
Awning,https://awningdepot.co.uk/,,18100,22,0,18,4,35,-17,32,3,35,-3,31,4,32,-1,31,1,21,10,20,1,33,-13,21,12,20,1,29,-9,27,2,28,-1,18,10,21,-3,20,1,30,-10,20,10,21,-1,24,-3,18,6
"Awning canopy",https://awningdepot.co.uk/,,4400,34,0,35,-1,35,0,33,2,20,13,35,-15,35,0,33,2,35,-2,37,-2,36,1,34,2,38,-4,36,2,35,1,37,-2,37,0,38,-1,44,-6,6,38,34,-28,35,-1,37,-2,33,4
"Commercial awnings",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,590,6,0,4,2,4,0,5,-1,5,0,6,-1,6,0,6,0,6,0,6,0,5,1,5,0,6,-1,4,2,4,0,6,-2,7,-1,8,-1,8,0,8,0,8,0,6,2,7,-1,5,2
"Awnings for Restaurants",https://awningdepot.co.uk/,,210,8,0,7,1,8,-1,10,-2,7,3,7,0,7,0,7,0,7,0,8,-1,8,0,11,-3,13,-2,12,1,11,1,12,-1,11,1,12,-1,11,1,40,-29,7,33,7,0,13,-6,11,2
"Restaurant Awnings",https://awningdepot.co.uk/,,210,5,0,5,0,5,0,5,0,5,0,5,0,5,0,6,-1,5,1,5,0,5,0,5,0,6,-1,6,0,6,0,6,0,6,0,8,-2,6,2,6,0,6,0,6,0,8,-2,6,2
"Shop front awnings",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,210,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"Shop front awning",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,210,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"Full cassette awnings",https://awningdepot.co.uk/full-cassette-awning/,,210,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,8,-1,7,1,8,-1,7,1,8,-1,8,0,8,0,7,1,8,-1,7,1,8,-1
"Full cassette awning",https://awningdepot.co.uk/full-cassette-awning/,,210,9,0,8,1,8,0,8,0,6,2,6,0,6,0,8,-2,7,1,5,2,5,0,7,-2,6,1,6,0,8,-2,6,2,6,0,7,-1,6,1,8,-2,6,2,6,0,6,0,7,-1
"Dutch canopies",https://awningdepot.co.uk/dutch-canopy/,,170,2,0,3,-1,4,-1,4,0,3,1,4,-1,4,0,3,1,4,-1,4,0,5,-1,4,1,4,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
"Dutch canopy",https://awningdepot.co.uk/dutch-canopy/,,170,6,0,6,0,7,-1,7,0,6,1,5,1,7,-2,7,0,7,0,7,0,4,3,4,0,4,0,6,-2,7,-1,7,0,7,0,8,-1,8,0,8,0,8,0,8,0,8,0,5,3
"Victorian awnings",https://awningdepot.co.uk/traditional-victorian-awning/,,140,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0
