"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2025-02-13,Dynamics,2025-02-16,Dynamics,2025-02-19,Dynamics,2025-02-22,Dynamics,2025-02-25,Dynamics,2025-02-28,Dynamics,2025-03-03,Dynamics,2025-03-06,Dynamics,2025-03-09,Dynamics,2025-03-12,Dynamics,2025-03-15,Dynamics,2025-03-18,Dynamics,2025-03-20,Dynamics,2025-03-21,Dynamics,2025-03-24,Dynamics,2025-03-27,Dynamics,2025-03-30,Dynamics,2025-04-02,Dynamics,2025-04-05,Dynamics,2025-04-08,Dynamics,2025-04-11,Dynamics,2025-04-14,Dynamics,2025-04-17,Dynamics,2025-04-20,Dynamics,2025-04-23,Dynamics,2025-04-26,Dynamics,2025-04-29,Dynamics,2025-05-02,Dynamics,2025-05-05,Dynamics,2025-05-08,Dynamics,2025-05-11,Dynamics,2025-05-14,Dynamics,2025-05-17,Dynamics,2025-05-20,Dynamics,2025-05-23,Dynamics,2025-05-26,Dynamics,2025-05-29,Dynamics,2025-06-01,Dynamics,2025-06-04,Dynamics,2025-06-07,Dynamics,2025-06-10,Dynamics,2025-06-13,Dynamics,2025-06-16,Dynamics,2025-06-19,Dynamics,2025-06-22,Dynamics,2025-06-25,Dynamics,2025-06-28,Dynamics,2025-07-01,Dynamics,2025-07-04,Dynamics,2025-07-07,Dynamics,2025-07-10,Dynamics,2025-07-13,Dynamics,2025-07-16,Dynamics,2025-07-19,Dynamics,2025-07-22,Dynamics,2025-07-25,Dynamics,2025-07-28,Dynamics,2025-07-31,Dynamics,2025-08-03,Dynamics,2025-08-06,Dynamics,2025-08-09,Dynamics,2025-08-12,Dynamics,2025-08-15,Dynamics,2025-08-18,Dynamics,2025-08-21,Dynamics,2025-08-24,Dynamics,2025-08-27,Dynamics,2025-08-30,Dynamics,2025-09-02,Dynamics,2025-09-05,Dynamics,2025-09-08,Dynamics,2025-09-11,Dynamics,2025-09-14,Dynamics,2025-09-17,Dynamics,2025-09-20,Dynamics,2025-09-23,Dynamics,2025-09-26,Dynamics,2025-09-29,Dynamics,2025-10-02,Dynamics,2025-10-05,Dynamics,2025-10-08,Dynamics,2025-10-11,Dynamics,2025-10-14,Dynamics,2025-10-17,Dynamics,2025-10-20,Dynamics,2025-10-23,Dynamics,2025-10-26,Dynamics,2025-10-29,Dynamics,2025-11-01,Dynamics,2025-11-04,Dynamics,2025-11-07,Dynamics,2025-11-10,Dynamics,2025-11-13,Dynamics,2025-11-16,Dynamics,2025-11-19,Dynamics,2025-11-22,Dynamics,2025-11-25,Dynamics,2025-11-28,Dynamics,2025-12-01,Dynamics,2025-12-04,Dynamics,2025-12-07,Dynamics,2025-12-10,Dynamics,2025-12-13,Dynamics,2025-12-16,Dynamics,2025-12-18,Dynamics,2025-12-19,Dynamics,2025-12-22,Dynamics,2025-12-25,Dynamics,2025-12-28,Dynamics,2025-12-31,Dynamics,2026-01-03,Dynamics,2026-01-06,Dynamics,2026-01-09,Dynamics,2026-01-12,Dynamics,2026-01-13,Dynamics,2026-01-14,Dynamics,2026-01-15,Dynamics,2026-01-16,Dynamics,2026-01-17,Dynamics,2026-01-18,Dynamics,2026-01-19,Dynamics,2026-01-20,Dynamics,2026-01-21,Dynamics,2026-01-22,Dynamics,2026-01-23,Dynamics,2026-01-24,Dynamics,2026-01-25,Dynamics,2026-01-26,Dynamics,2026-01-27,Dynamics,2026-01-28,Dynamics,2026-01-29,Dynamics,2026-01-30,Dynamics,2026-01-31,Dynamics,2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics
Awning,https://awningdepot.co.uk/,,18100,19,0,21,-2,21,0,35,-14,30,5,39,-9,28,11,26,2,-,0,28,72,21,7,20,1,26,-6,25,1,18,7,27,-9,23,4,31,-8,35,-4,35,0,65,-30,65,0,51,14,50,1,64,-14,65,-1,63,2,61,2,61,0,51,10,42,9,64,-22,51,13,48,3,47,1,32,15,40,-8,48,-8,49,-1,49,0,35,14,37,-2,36,1,32,4,33,-1,40,-7,46,-6,38,8,41,-3,39,2,36,3,42,-6,44,-2,43,1,43,0,34,9,43,-9,43,0,38,5,34,4,43,-9,40,3,32,8,35,-3,46,-11,43,3,32,11,31,1,35,-4,30,5,34,-4,27,7,24,3,24,0,35,-11,28,7,28,0,38,-10,21,17,30,-9,28,2,-,0,-,0,-,0,61,39,34,27,36,-2,28,8,31,-3,29,2,41,-12,27,14,37,-10,34,3,31,3,35,-4,34,1,32,2,35,-3,32,3,32,0,35,-3,33,2,24,9,37,-13,21,16,18,3,34,-16,20,14,22,-2,18,4,35,-17,32,3,35,-3,31,4,32,-1,31,1,21,10,20,1,33,-13,21,12,20,1,29,-9,27,2,28,-1,18,10,21,-3,20,1,30,-10,20,10,21,-1,24,-3,18,6,14,4,17,-3,54,-37,21,33,12,9
"Awning canopy",https://awningdepot.co.uk/shop-awnings-and-canopies/,,4400,15,0,19,-4,48,-29,15,33,18,-3,15,3,49,-34,27,22,20,7,15,5,27,-12,16,11,19,-3,22,-3,49,-27,23,26,14,9,24,-10,22,2,23,-1,16,7,19,-3,14,5,12,2,11,1,11,0,13,-2,14,-1,19,-5,18,1,33,-15,17,16,17,0,24,-7,24,0,42,-18,16,26,15,1,27,-12,19,8,26,-7,47,-21,18,29,24,-6,23,1,26,-3,42,-16,41,1,37,4,42,-5,40,2,41,-1,35,6,38,-3,36,2,42,-6,53,-11,32,21,26,6,33,-7,52,-19,19,33,23,-4,31,-8,25,6,22,3,26,-4,31,-5,22,9,22,0,20,2,28,-8,33,-5,33,0,33,0,33,0,33,0,39,-6,36,3,35,1,-,0,-,0,-,0,-,0,-,0,-,0,45,55,46,-1,43,3,46,-3,39,7,28,11,42,-14,-,0,44,56,31,13,-,0,37,63,-,0,42,58,-,0,58,42,47,11,61,-14,34,27,52,-18,36,16,35,1,37,-2,34,3,35,-1,35,0,33,2,20,13,35,-15,35,0,33,2,35,-2,37,-2,36,1,34,2,38,-4,36,2,35,1,37,-2,37,0,38,-1,44,-6,6,38,34,-28,35,-1,37,-2,33,4,32,1,33,-1,36,-3,40,-4,18,22
"Commercial awnings",https://awningdepot.co.uk/,Targeted,590,7,0,7,0,7,0,6,1,6,0,6,0,5,1,6,-1,5,1,5,0,6,-1,5,1,5,0,6,-1,6,0,4,2,4,0,6,-2,5,1,4,1,7,-3,7,0,6,1,6,0,7,-1,6,1,6,0,6,0,6,0,7,-1,6,1,9,-3,9,0,14,-5,10,4,15,-5,10,5,11,-1,14,-3,9,5,9,0,6,3,8,-2,5,3,4,1,5,-1,5,0,5,0,5,0,5,0,5,0,7,-2,6,1,12,-6,11,1,11,0,5,6,5,0,5,0,6,-1,6,0,5,1,4,1,4,0,5,-1,4,1,4,0,4,0,4,0,4,0,6,-2,4,2,7,-3,7,0,7,0,5,2,5,0,8,-3,5,3,7,-2,4,3,7,-3,7,0,6,1,3,3,4,-1,6,-2,5,1,5,0,5,0,5,0,7,-2,3,4,8,-5,8,0,3,5,6,-3,5,1,6,-1,3,3,5,-2,6,-1,3,3,4,-1,6,-2,6,0,6,0,6,0,6,0,6,0,4,2,4,0,5,-1,5,0,6,-1,6,0,6,0,6,0,6,0,5,1,5,0,6,-1,4,2,4,0,6,-2,7,-1,8,-1,8,0,8,0,8,0,6,2,7,-1,5,2,7,-2,5,2,4,1,3,1,6,-3
"Awnings for Restaurants",https://awningdepot.co.uk/,,210,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",5,0,5,0,11,-6,5,6,3,2,5,-2,5,0,5,0,5,0,4,1,5,-1,5,0,5,0,7,-2,9,-2,8,1,7,1,6,1,4,2,8,-4,7,1,7,0,9,-2,9,0,9,0,7,2,7,0,9,-2,8,1,7,1,9,-2,6,3,9,-3,7,2,8,-1,8,0,7,1,8,-1,8,0,6,2,7,-1,7,0,8,-1,8,0,8,0,8,0,13,-5,11,2,32,-21,9,23,11,-2,12,-1,10,2,6,4,11,-5,17,-6,6,11,7,-1,6,1,6,0,7,-1,6,1,6,0,12,-6,6,6,7,-1,10,-3,6,4,7,-1,7,0,11,-4,8,3,7,1,8,-1,10,-2,7,3,7,0,7,0,7,0,7,0,8,-1,8,0,11,-3,13,-2,12,1,11,1,12,-1,11,1,12,-1,11,1,40,-29,7,33,7,0,13,-6,11,2,10,1,8,2,7,1,7,0,7,0
"Restaurant Awnings",https://awningdepot.co.uk/,,210,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",5,0,5,0,5,0,5,0,5,0,4,1,4,0,4,0,4,0,3,1,3,0,3,0,4,-1,3,1,5,-2,3,2,5,-2,5,0,4,1,4,0,5,-1,4,1,5,-1,5,0,6,-1,5,1,5,0,5,0,5,0,4,1,4,0,3,1,3,0,3,0,5,-2,3,2,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,4,0,3,1,4,-1,5,-1,5,0,4,1,5,-1,4,1,4,0,5,-1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,6,-1,5,1,5,0,5,0,5,0,6,-1,6,0,6,0,6,0,6,0,8,-2,6,2,6,0,6,0,6,0,8,-2,6,2,8,-2,6,2,6,0,6,0,8,-2
"Shop front awnings",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,210,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,1,1,2,-1,2,0,1,1,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,6,-4,16,-10,16,0,14,2,14,0,16,-2,13,3,13,0,13,0,14,-1,2,12,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,2,-1,1,1,2,-1,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-,0,-,0
"Shop front awning",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,210,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,12,-11,25,-13,25,0,23,2,23,0,22,1,21,1,21,0,20,1,14,6,1,13,1,0,1,0,2,-1,2,0,2,0,1,1,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"Full cassette awnings",https://awningdepot.co.uk/full-cassette-awning/,,210,7,0,6,1,6,0,6,0,5,1,5,0,6,-1,6,0,5,1,5,0,5,0,5,0,6,-1,6,0,6,0,7,-1,7,0,7,0,6,1,6,0,7,-1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,8,-1,8,0,8,0,9,-1,9,0,8,1,7,1,7,0,7,0,7,0,7,0,9,-2,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,11,-2,11,0,11,0,13,-2,11,2,16,-5,15,1,23,-8,16,7,23,-7,22,1,14,8,16,-2,16,0,14,2,12,2,12,0,13,-1,15,-2,14,1,9,5,9,0,8,1,8,0,8,0,-,0,-,0,18,82,13,5,13,0,9,4,11,-2,9,2,9,0,9,0,10,-1,10,0,12,-2,11,1,11,0,12,-1,13,-1,12,1,11,1,11,0,8,3,9,-1,11,-2,12,-1,10,2,10,0,13,-3,10,3,10,0,7,3,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,8,-1,7,1,8,-1,7,1,8,-1,8,0,8,0,7,1,8,-1,7,1,8,-1,8,0,8,0,8,0,8,0,8,0
"Full cassette awning",https://awningdepot.co.uk/full-cassette-awning/,,210,6,0,6,0,5,1,5,0,3,2,3,0,3,0,4,-1,3,1,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,5,-1,5,0,5,0,4,1,5,-1,4,1,5,-1,5,0,9,-4,6,3,8,-2,8,0,6,2,6,0,9,-3,9,0,9,0,10,-1,9,1,5,4,4,1,8,-4,8,0,9,-1,12,-3,10,2,10,0,8,2,9,-1,9,0,7,2,7,0,8,-1,8,0,7,1,8,-1,8,0,9,-1,8,1,9,-1,9,0,15,-6,10,5,8,2,7,1,8,-1,7,1,7,0,7,0,7,0,9,-2,9,0,10,-1,7,3,10,-3,10,0,11,-1,11,0,10,1,10,0,10,0,16,-6,9,7,12,-3,14,-2,6,8,6,0,6,0,6,0,12,-6,11,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,10,1,10,0,11,-1,11,0,11,0,10,1,10,0,9,1,8,1,8,0,8,0,8,0,9,-1,9,0,9,0,8,1,8,0,8,0,6,2,6,0,6,0,8,-2,7,1,5,2,5,0,7,-2,6,1,6,0,8,-2,6,2,6,0,7,-1,6,1,8,-2,6,2,6,0,6,0,7,-1,7,0,10,-3,8,2,8,0,7,1
"Dutch canopies",https://awningdepot.co.uk/dutch-canopy/,,170,2,0,2,0,3,-1,3,0,3,0,2,1,3,-1,2,1,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,2,1,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,2,1,2,0,2,0,2,0,2,0,10,-8,5,5,5,0,5,0,5,0,5,0,8,-3,3,5,5,-2,5,0,5,0,5,0,6,-1,5,1,5,0,2,3,5,-3,5,0,5,0,7,-2,6,1,7,-1,7,0,3,4,5,-2,7,-2,7,0,5,2,4,1,4,0,3,1,7,-4,5,2,4,1,5,-1,2,3,5,-3,5,0,5,0,5,0,5,0,5,0,6,-1,6,0,5,1,5,0,2,3,5,-3,6,-1,4,2,4,0,8,-4,4,4,4,0,3,1,9,-6,3,6,3,0,3,0,3,0,3,0,3,0,2,1,3,-1,4,-1,4,0,3,1,4,-1,4,0,3,1,4,-1,4,0,5,-1,4,1,4,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,-,0,4,96
