"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics,2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics,2026-02-10,Dynamics,2026-02-11,Dynamics,2026-02-12,Dynamics,2026-02-13,Dynamics,2026-02-14,Dynamics,2026-02-15,Dynamics,2026-02-16,Dynamics,2026-02-17,Dynamics,2026-02-18,Dynamics,2026-02-19,Dynamics,2026-02-20,Dynamics,2026-02-21,Dynamics,2026-02-22,Dynamics,2026-02-23,Dynamics,2026-02-24,Dynamics,2026-02-25,Dynamics,2026-02-26,Dynamics,2026-02-27,Dynamics,2026-02-28,Dynamics,2026-03-01,Dynamics,2026-03-02,Dynamics
Awning,https://awningdepot.co.uk/,,18100,14,0,17,-3,54,-37,21,33,12,9,17,-5,17,0,17,0,18,-1,18,0,24,-6,29,-5,18,11,32,-14,18,14,25,-7,21,4,26,-5,77,-51,79,-2,31,48,20,11,23,-3,18,5,30,-12,25,5,24,1,24,0,21,3,26,-5
"Awning canopy",https://awningdepot.co.uk/shop-awnings-and-canopies/,,4400,32,0,33,-1,36,-3,40,-4,18,22,4,14,40,-36,40,0,48,-8,48,0,34,14,22,12,35,-13,37,-2,33,4,38,-5,41,-3,28,13,63,-35,37,26,37,0,39,-2,41,-2,38,3,46,-8,6,40,4,2,38,-34,38,0,4,34
"Commercial awnings",https://awningdepot.co.uk/,Targeted,590,7,0,5,2,4,1,3,1,6,-3,6,0,6,0,7,-1,7,0,6,1,6,0,7,-1,6,1,6,0,4,2,4,0,5,-1,5,0,3,2,8,-5,7,1,4,3,4,0,6,-2,3,3,5,-2,4,1,7,-3,6,1,6,0
"entrance canopy",,,590,"No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data",-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
"Awnings for Restaurants",https://awningdepot.co.uk/,,210,10,0,8,2,7,1,7,0,7,0,6,1,6,0,6,0,10,-4,10,0,10,0,10,0,8,2,7,1,6,1,13,-7,12,1,10,2,5,5,8,-3,5,3,6,-1,6,0,6,0,6,0,8,-2,6,2,6,0,6,0,5,1
"Restaurant Awnings",https://awningdepot.co.uk/,,210,8,0,6,2,6,0,6,0,8,-2,6,2,6,0,8,-2,6,2,6,0,6,0,8,-2,6,2,8,-2,7,1,8,-1,7,1,7,0,7,0,9,-2,7,2,8,-1,7,1,9,-2,7,2,5,2,7,-2,9,-2,8,1,8,0
"Shop front awnings",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,210,1,0,1,0,1,0,-,0,-,0,1,99,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,5,-3,1,4,1,0,2,-1,1,1,2,-1,2,0,1,1,1,0,1,0,1,0,1,0,2,-1,2,0,1,1
"Shop front awning",https://awningdepot.co.uk/shop-awnings-and-canopies/,Targeted,210,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,-2,3,0,1,2,1,0,2,-1,3,-1,3,0,1,2,1,0,1,0,1,0,1,0,1,0,5,-4,1,4,1,0
"Full cassette awnings",https://awningdepot.co.uk/full-cassette-awning/,,210,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,6,2,7,-1,8,-1,8,0,11,-3,9,2,9,0,7,2,8,-1,13,-5,8,5,9,-1,7,2,6,1,6,0,13,-7
"Full cassette awning",https://awningdepot.co.uk/full-cassette-awning/,,210,7,0,10,-3,8,2,8,0,7,1,7,0,6,1,6,0,7,-1,6,1,29,-23,6,23,6,0,12,-6,5,7,5,0,7,-2,7,0,7,0,8,-1,11,-3,8,3,7,1,7,0,7,0,7,0,7,0,7,0,6,1,12,-6
