Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (GBP),SERP Features
awnings Kent,Informational,210,"0.12,0.28,0.43,0.43,0.53,0.35,0.28,1.00,0.82,0.82,1.00,0.82",15,4.62,"AI Overview, People also ask, Knowledge panel, Related searches"
awnings Surrey,Commercial,210,"0.04,0.06,0.22,0.22,0.22,0.22,0.08,0.81,0.81,0.54,0.66,1.00",31,7.33,"Local pack, Find results on, Related searches"
awnings Canterbury,,110,"0.28,0.35,0.78,0.78,0.64,0.78,0.64,0.78,1.00,0.78,1.00,1.00",,0.00,
awnings Essex,,90,"0.13,0.13,0.79,0.79,0.79,0.28,1.00,1.00,0.64,0.79,0.49,0.49",,4.00,
awnings Ashford,,70,"0.00,0.27,0.63,0.63,0.45,0.63,0.45,0.63,0.63,1.00,1.00,1.00",,0.00,
awnings Buckinghamshire,,70,"0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.43,0.53,0.53,0.66,1.00",,0.00,
awnings Maidstone,,70,"0.33,0.21,0.55,0.79,0.79,1.00,1.00,1.00,1.00,0.79,0.79,1.00",,0.00,
awnings Sussex,,70,"0.11,0.11,0.11,0.11,0.11,0.11,0.17,1.00,1.00,0.82,0.82,0.82",,4.99,
awnings brighton,,70,"0.43,0.32,0.54,0.43,0.75,1.00,0.54,1.00,1.00,0.75,0.75,0.75",,0.00,
awnings Dover,,50,"0.22,0.33,0.55,0.77,0.55,0.55,0.55,0.77,0.77,1.00,0.77,0.77",,0.00,
awnings richmond,,50,"0.18,0.18,0.27,0.18,0.18,0.27,0.27,1.00,1.00,0.81,0.63,0.63",,0.00,
awnings colchester,,40,"0.22,0.22,0.22,0.22,0.22,0.22,0.77,1.00,0.55,0.33,0.44,0.55",,5.07,
awnings eastbourne,,40,"0.22,0.22,0.22,0.22,0.33,0.22,0.22,1.00,1.00,0.55,0.33,0.44",,3.86,
awnings south london,,40,"0.80,0.40,1.00,1.00,1.00,1.00,0.80,1.00,1.00,0.60,1.00,0.80",,0.00,
awnings wimbledon,,40,"0.00,0.00,0.00,0.11,0.11,1.00,1.00,0.77,0.55,0.55",,0.00,
awnings Bedfordshire,,30,"0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.27,0.27,0.37,0.44,1.00",,0.00,
awnings Hertfordshire,,30,"0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.80,1.00,0.60,0.60,0.60",,0.00,
awnings Rochester,,30,"0.11,0.11,0.11,0.11,0.11,0.11,0.00,1.00,1.00,0.77,1.00,0.11",,0.00,
awnings chelmsford,,30,"0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.44,1.00,0.33,0.33,0.33",,0.00,
awnings north london,,30,"0.00,0.28,0.28,0.28,0.28,0.28,0.28,0.57,1.00,0.57,0.28,0.71",,0.00,
awnings epping,,20,"0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00",,0.00,
awnings west london,,20,"0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00",,0.00,
awnings Chatham,,10,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
awnings Margate,,10,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.50,1.00",,0.00,
awnings brentwood,,10,"1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00",,0.00,
awnings east london,,10,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00",,0.00,
awnings fulham,,10,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00",,0.00,
awnings southend,,10,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,1.00",,0.00,
awnings Herne Bay,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
awnings canary wharf,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
awnings chelsea,,0,"0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00",,0.00,
awnings greenwich,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.50,
awnings kensington,,0,"0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00",,0.88,
awnings soho,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
awnings knightsbridge,Commercial,,,15,,"Reviews, Local pack, Find results on, Related searches, Popular products"
