Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (GBP),SERP Features
awnings milton keynes,Informational,210,"0.05,0.10,0.28,0.43,0.43,0.35,0.23,0.82,0.82,0.82,0.82,1.00",4,1.99,"Image, Video, People also ask, Knowledge panel, Related searches"
awnings aylesbury,Commercial,170,"0.06,0.43,0.81,0.81,0.43,1.00,0.21,0.53,0.65,0.43,0.53,0.43",10,0.00,"Image, Knowledge panel, Related searches"
awnings Bedford,,140,"0.06,0.12,0.21,0.21,0.21,0.21,0.28,0.65,0.53,0.65,0.65,1.00",,1.84,
awnings watford,,50,"0.18,0.18,0.18,0.18,0.27,0.45,0.27,0.81,0.63,0.63,0.81,1.00",,0.00,
awnings Marlow,,40,"0.00,0.14,1.00,0.71,0.71,1.00,1.00,0.57,0.42,0.42,0.57,0.57",,0.00,
awnings high wycombe,,20,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.60,1.00,0.80",,0.00,
awnings stevenage,,20,"0.00,0.64,0.64,0.64,0.64,0.64,0.64,1.00,0.64,0.64,0.64,0.64",,0.00,
awnings Leighton Buzzard,,10,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
awnings Luton,,10,"0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00",,0.00,
Awnings Buckingham,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
awnings Chesham,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
awnings Amersham,Commercial,,,9,,"Reviews, Image, Local pack, Find results on, Related searches"
awnings Chiltern Hills,Commercial,,,8,,"Reviews, Image, Local pack, Related searches"
awnings central london,Commercial,,,8,,"Featured snippet, Reviews, Local pack, Related searches"
awnings hertford,Commercial,,,10,,"Reviews, Image, People also ask, Local pack, Find results on, Related searches"
awnings st albarns,Informational,,,16,,"Image, Knowledge panel, Related searches"
