"Google United Kingdom, interface language: English"
Keyword,URL,"Search vol.",2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics
"Metal Sheds",--,42160,12,0,12,0,10,2,11,-1
"metal shed",https://www.buyshedsdirect.co.uk/sheds/metal,27100,14,0,13,1,"No data","No data",9,0
"metal sheds",https://www.buyshedsdirect.co.uk/sheds/metal,9900,15,0,12,3,15,-3,"No data","No data"
"metal garden shed",https://www.buyshedsdirect.co.uk/sheds/metal,3200,20,0,12,8,"No data","No data",12,0
"shed metal",https://www.buyshedsdirect.co.uk/sheds/metal,810,16,0,13,3,"No data","No data",13,0
"metal garden sheds",https://www.buyshedsdirect.co.uk/sheds/metal,410,13,0,13,0,13,0,"No data","No data"
"metal shed with floor",https://www.buyshedsdirect.co.uk/sheds/metal,180,17,0,29,-12,"No data","No data",19,0
"metal bike shed",https://www.buyshedsdirect.co.uk/garden-storage/bike-storage-sheds,170,13,0,13,0,13,0,7,6
"metal sheds for sale",https://www.buyshedsdirect.co.uk/sheds/metal,150,2,0,2,0,2,0,2,0
"metal sheds uk",https://www.buyshedsdirect.co.uk/sheds/metal,60,11,0,11,0,"No data","No data",11,0
"metal garden sheds for sale",https://www.buyshedsdirect.co.uk/sheds/metal,60,2,0,2,0,2,0,2,0
"garden shed metal",https://www.buyshedsdirect.co.uk/sheds/metal,30,16,0,16,0,"No data","No data",16,0
"metal shed storage building",https://www.buyshedsdirect.co.uk/sheds/metal,30,13,0,13,0,13,0,13,0
"metal garden storage shed",https://www.buyshedsdirect.co.uk/sheds/metal,20,13,0,16,-3,"No data","No data",15,0
"small metal shed",https://www.buyshedsdirect.co.uk/sheds/metal,10,6,0,7,-1,"No data","No data",10,0
"metal storage sheds",https://www.buyshedsdirect.co.uk/sheds/metal,10,12,0,11,1,"No data","No data",11,0
"metal garden sheds uk",https://www.buyshedsdirect.co.uk/sheds/metal,10,12,0,11,1,"No data","No data",11,0
"metal storage shed with floor",https://www.buyshedsdirect.co.uk/sheds/metal,10,11,0,10,1,10,0,10,0
"Sheds by Size",--,10,10,0,10,0,"No data","No data",5,0
"10x8 metal shed",https://www.buyshedsdirect.co.uk/10-x-8-yardmaster-castleton-anthracite-metal-shed,10,10,0,10,0,,,5,0
