"Google United Kingdom, interface language: English"
Keyword,URL,"Search vol.",2026-01-26,Dynamics,2026-01-27,Dynamics,2026-01-28,Dynamics,2026-01-29,Dynamics,2026-01-30,Dynamics,2026-01-31,Dynamics,2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics,2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics,2026-02-10,Dynamics,2026-02-11,Dynamics,2026-02-12,Dynamics,2026-02-13,Dynamics,2026-02-14,Dynamics,2026-02-15,Dynamics,2026-02-16,Dynamics,2026-02-17,Dynamics,2026-02-18,Dynamics,2026-02-19,Dynamics,2026-02-20,Dynamics,2026-02-21,Dynamics,2026-02-22,Dynamics,2026-02-23,Dynamics,2026-02-24,Dynamics
General,--,189060,5,0,4,1,5,-1,6,-1,10,-4,4,6,3,1,6,-3,4,2,10,-6,9,1,4,5,4,0,4,0,4,0,4,0,4,0,5,-1,4,1,4,0,4,0,5,-1,5,0,5,0,5,0,4,1,4,0,8,-4,7,1,7,0
"garden shed",https://www.buyshedsdirect.co.uk/sheds,90500,16,0,14,2,15,-1,14,1,14,0,14,0,3,11,16,-13,3,13,5,-2,-,0,16,84,14,2,14,0,14,0,14,0,13,1,13,0,13,0,14,-1,15,-1,12,3,13,-1,13,0,12,1,2,10,3,-1,16,-13,19,-3,17,2
"garden sheds",https://www.buyshedsdirect.co.uk/sheds,60500,4,0,1,3,16,-15,14,2,1,13,5,-4,1,4,16,-15,1,15,3,-2,1,2,2,-1,4,-2,3,1,2,1,1,1,1,0,3,-2,1,2,1,0,1,0,3,-2,1,2,3,-2,1,2,2,-1,4,-2,7,-3,8,-1,10,-2
"garden sheds for sale",https://www.buyshedsdirect.co.uk/sheds,8100,1,0,1,0,2,-1,3,-1,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,1,1,1,0,2,-1,2,0,2,0,1,1,1,0,1,0,4,-3,4,0,5,-1
"wooden garden shed",https://www.buyshedsdirect.co.uk/sheds/wooden,6600,2,0,1,1,2,-1,1,1,1,0,1,0,1,0,2,-1,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,2,-1,2,0,3,-1,2,1,1,1,7,-6,3,4,2,1,2,0,5,-3,8,-3
"small garden shed",https://www.buyshedsdirect.co.uk/sheds/small-sheds,6600,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,1,1,5,-4,7,-2,3,4,1,2,9,-8,1,8,1,0,1,0,1,0
"garden storage shed",https://www.buyshedsdirect.co.uk/sheds/small-sheds,5400,3,0,3,0,3,0,3,0,3,0,10,-7,9,1,9,0,3,6,5,-2,8,-3,5,3,6,-1,4,2,9,-5,9,0,7,2,7,0,3,4,7,-4,1,6,5,-4,7,-2,8,-1,11,-3,11,0,6,5,18,-12,13,5,14,-1
"wooden garden sheds",https://www.buyshedsdirect.co.uk/sheds/wooden,3600,2,0,2,0,2,0,2,0,2,0,1,1,1,0,2,-1,1,1,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,1,0,3,-2,2,1,2,0,5,-3,3,2,2,1,1,1,1,0,1,0,2,-1
"garden sheds uk",https://www.buyshedsdirect.co.uk/sheds,3600,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,-,0,1,99,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6,-5,4,2,4,0
"garden sheds near me",https://www.buyshedsdirect.co.uk/sheds/all-sheds,2400,5,0,4,1,7,-3,7,0,5,2,8,-3,11,-3,11,0,8,3,7,1,4,3,4,0,4,0,13,-9,7,6,7,0,10,-3,10,0,10,0,10,0,9,1,3,6,6,-3,6,0,3,3,12,-9,12,0,7,5,10,-3,5,5
