"Google United Kingdom, interface language: English"
Keyword,URL,"Search vol.",2026-03-06,Dynamics,2026-03-07,Dynamics,2026-03-08,Dynamics,2026-03-09,Dynamics
General,--,364960,3,0,4,-1,3,1,3,0
"garden sheds",https://www.buyshedsdirect.co.uk/sheds,60500,2,0,11,-9,7,4,1,6
"garden shed",https://www.buyshedsdirect.co.uk/sheds,90500,13,0,4,9,4,0,1,3
"garden sheds for sale",https://www.buyshedsdirect.co.uk/sheds,8100,1,0,1,0,1,0,2,-1
"garden sheds near me",https://www.buyshedsdirect.co.uk/sheds/all-sheds,2400,2,0,2,0,2,0,2,0
"garden storage shed",https://www.buyshedsdirect.co.uk/garden-storage,5400,2,0,10,-8,5,5,2,3
"small garden shed",https://www.buyshedsdirect.co.uk/sheds/small-sheds,6600,1,0,1,0,1,0,1,0
"garden sheds uk",https://www.buyshedsdirect.co.uk/sheds,3600,1,0,1,0,1,0,1,0
"garden shed sale",https://www.buyshedsdirect.co.uk/sheds,140,3,0,2,1,3,-1,2,1
"garden sheds for sale near me",https://www.buyshedsdirect.co.uk/sheds/all-sheds,150,2,0,2,0,3,-1,6,-3
"wooden garden sheds",https://www.buyshedsdirect.co.uk/sheds/wooden,3600,6,0,4,2,4,0,7,-3
"small garden sheds",https://www.buyshedsdirect.co.uk/sheds/small-sheds,210,2,0,2,0,1,1,1,0
"large garden shed",https://www.buyshedsdirect.co.uk/sheds/large-sheds,180,9,0,13,-4,15,-2,2,13
"shed garden",https://www.buyshedsdirect.co.uk/sheds,810,1,0,12,-11,2,10,9,-7
"garden shed uk",https://www.buyshedsdirect.co.uk/sheds,270,1,0,1,0,4,-3,1,3
"wooden garden shed",https://www.buyshedsdirect.co.uk/sheds/wooden,6600,5,0,4,1,9,-5,4,5
sheds,https://www.buyshedsdirect.co.uk/sheds,27100,1,0,1,0,1,0,4,-3
"sheds for sale",https://www.buyshedsdirect.co.uk/sheds,33100,1,0,1,0,1,0,2,-1
