"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2026-03-07,Dynamics,2026-03-08,Dynamics,2026-03-09,Dynamics,2026-03-10,Dynamics
Winter,--,,101400,87,0,29,58,26,3,40,-14
"winter boots women",https://www.dunelondon.com/womens-boots/womens-winter-boots/,,3200,-,0,18,82,17,1,25,-8
"winter boots for women",https://www.dunelondon.com/womens-boots/womens-winter-boots/,,27100,-,0,11,89,13,-2,13,0
"women winter boots",https://www.dunelondon.com/womens-boots/womens-winter-boots/,,27100,-,0,8,92,10,-2,8,2
"women's winter boots",https://www.dunelondon.com/womens-boots/womens-winter-boots/,,12100,6,0,31,-25,6,25,-,0
"womens winter boots",https://www.dunelondon.com/womens-boots/womens-winter-boots/,,27100,-,0,10,90,6,4,8,-2
"waterproof womens winter boots",https://www.dunelondon.com/womens-boots/womens-winter-boots/,,2400,-,0,-,0,-,0,-,0
"womens winter boots uk",https://www.dunelondon.com/womens-boots/womens-winter-boots/,,2400,-,0,24,76,27,-3,26,1
"Knee High & Over the knee",--,,41960,23,0,10,13,32,-22,12,20
"knee high boots for women",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,3200,6,0,1,5,1,0,1,0
"womens knee high boots",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,4400,-,0,1,99,8,-7,1,7
"women's knee high boots",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,4400,1,0,1,0,1,0,1,0
"knee boots for women",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,10,50,0,4,46,3,1,1,2
"womens black knee high boots",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,120,3,0,3,0,6,-3,3,3
"women knee high boot",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,18100,47,0,1,46,50,-49,1,49
"womens knee boots",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,2900,5,0,3,2,5,-2,1,4
"black knee high boots for women",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,10,3,0,2,1,7,-5,4,3
"womens over the knee boots",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,1900,9,0,8,1,-,0,-,0
"womens black knee high boots",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,120,3,0,2,1,8,-6,3,5
"black knee high boots heeled",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,6600,4,0,3,1,-,0,6,94
"knee length boots for women",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,10,7,0,1,6,1,0,1,0
"platform knee high boots",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,120,11,0,-,0,-,0,24,76
"knee high platform boots",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,50,4,0,8,-4,-,0,23,77
"over knee boots for women",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,10,10,0,9,1,6,3,8,-2
"over the knee boots for women",https://www.dunelondon.com/womens-boots/womens-knee-high-boots/,,10,-,0,11,89,10,1,9,1
"Cowboy & Western",--,,26440,38,0,28,10,51,-23,34,17
"cowboy boots for women",https://www.dunelondon.com/womens-boots/womens-western-boots/,,14800,38,0,29,9,-,0,37,63
"womens cowboy boots",https://www.dunelondon.com/womens-boots/womens-western-boots/,,160,40,0,33,7,38,-5,36,2
