Pageviews,Page,URL,"Pub Date",Author,"Top Source","Avg Time","Estimated Time",Fb,Readability,"Finished Reading","Desktop Readability","Tablet Readability","Smartphone Readability",Recirculation,Categories,Subcategories
141788,"Haikyuu Final Movie Release Date: All You Need to Know | Epicstream",epicstream.com/article/haikyuu-final-movie-release-date-trailer-plot-studio-all-you-need-to-know,"2022-11-18 10:05:05","R.Y., Tarun Mazumdar","google - 98%",39.69,339,0,9%,13001,15%,12%,8%,1%,"Anime, Hubs, Haikyuu",
107764,"The Best BL Anime on Crunchyroll | Epicstream",epicstream.com/article/bl-anime-on-crunchyroll,"2022-05-13 11:30:36","Cathlyn Melo","google - 97%",80.91,38,0,45%,48511,49%,51%,44%,2%,Anime,
69324,"*UPDATE* Winds of Winter Release Date 2023: George RR Martin Confirms When Book Will Be Coming Out | Epicstream",epicstream.com/article/winds-of-winter-release-date-2021-george-rr-martin-confirms-when-book-will-be-coming-out,"2023-02-02 21:49:06","Madalena Daleziou","google - 96%",80.12,447,31,23%,16036,33%,35%,19%,3%,"Game of Thrones",
57085,"Blue Lock Episode 19 Release Date and Time, COUNTDOWN | Epicstream",epicstream.com/article/blue-lock-next-episode-release-date-time-countdown,"2023-03-24 05:55:04","Cathlyn Melo","google - 100%",26.35,384,0,13%,7219,17%,16%,11%,1%,Anime,
55575,"Blue Eye Samurai: Understanding the 12 and 20 Positions in the Anime | Epicstream",epicstream.com/article/blue-eye-samurai-12-20-positions-explained,"2023-11-15 18:14:09","Tarun Mazumdar","google - 99%",31.48,137,0,34%,19143,43%,33%,33%,1%,"Anime, Queries, Blue Eye Samurai, Netflix",
55424,"Where to Watch and Stream All 8 Harry Potter Movies Free Online - 2023 UPDATE | Epicstream",epicstream.com/article/harry-potter-where-to-watch-and-stream-all-the-harry-potter-movies-online,"2023-03-31 20:56:10","Margarita Rances","google - 97%",25.83,239,0,16%,8607,17%,18%,13%,1%,"Harry Potter, Where to Watch",
49487,"Naruto Watching Guide: How to Watch Naruto in Order with No Filler | Epicstream",epicstream.com/article/naruto-watching-guide-how-to-watch-naruto-in-order-with-no-filler,"2022-04-08 10:12:20",R.Y.,"google - 99%",46.34,97,50,15%,7346,17%,15%,14%,1%,"Anime, Naruto",
47270,"25 Best BL Anime to Watch of All Time | Epicstream",epicstream.com/article/best-bl-anime-to-watch,"2023-02-03 10:02:31","Cathlyn Melo","google - 94%",66.35,51,72,52%,24433,61%,51%,48%,2%,"Anime, Lists, Queries",
46610,"Top 17 Most Graphic Sex Scenes in Marvel Comics We'll Never See On The Big Screen | Epicstream",epicstream.com/article/top-15-most-graphic-sex-moment-in-marvel-comics,"2023-03-31 20:53:15","Jake Vyper, Margarita Rances","google - 97%",113.97,40,86,45%,21182,52%,41%,44%,1%,"Lists, Marvel",
45329,"The Ultimate One Piece Watch Order 2023: No Filler & With Movies | Epicstream",epicstream.com/article/the-ultimate-one-piece-watch-order,"2023-02-14 15:00:13",R.Y.,"google - 98%",53.82,357,0,8%,3616,9%,12%,8%,1%,"Anime, One Piece",
41042,"Chainsaw Man: Does Denji Ever Have Sex? | Epicstream",epicstream.com/article/chainsaw-man-does-denji-ever-have-sex,"2022-11-25 07:50:57","Cathlyn Melo","google - 100%",66.44,316,0,32%,13227,38%,20%,31%,4%,"Anime, Queries, Chainsaw Man",
40325,"Where to Watch the My Happy Marriage Live-Action Movie Online | Epicstream",epicstream.com/article/where-to-watch-my-happy-marriage-live-action-movie-online,"2023-07-21 17:59:41","Madalena Daleziou","google - 82%",42.08,152,34,34%,13612,33%,30%,35%,3%,"Anime, Queries, Movies",
38265,"My Dress-Up Darling Season 2 Release Date, Countdown, & All You Need to Know! | Epicstream",epicstream.com/article/my-dress-up-darling-season-2-release-date-countdown-all-details,"2023-04-03 10:14:41","Cathlyn Melo","google - 99%",40.14,386,0,5%,1734,9%,7%,3%,3%,"Anime, Hubs, My Dress-Up Darling",
37093,"Cheat Skill in Another World Season 2: Release Date News & Predictions | Epicstream",epicstream.com/article/cheat-skill-in-another-world-season-2-release-date-news-predictions,"2023-06-07 09:09:10","Tarun Mazumdar","google - 98%",44.69,148,0,12%,4540,18%,19%,10%,2%,"Anime, Queries, I Got a Cheat Skill in Another World",
36505,"Overlord: Holy Kingdom Arc Movie Release Date, Trailer, Canon, Plot, and All You Need to Know! | Epicstream",epicstream.com/article/overlord-holy-kingdom-arc-movie-release-date-trailer-canon-plot-all-you-need-to-know,"2023-02-16 09:12:37","Cathlyn Melo","google - 94%",49.05,316,0,7%,2654,11%,10%,5%,4%,"Anime, Hubs, Overlord",
36476,"How Are All the Walter Boys Related? Is Anyone Adopted? | Epicstream",epicstream.com/article/are-all-the-walter-boys-related,"2023-12-08 12:48:24","Fatima Castillo","google - 92%",90.69,261,24,26%,9526,40%,24%,24%,2%,"Netflix, Queries, Geek Culture",
34792,"Will There Be 365 Days 4? Did Netflix Confirm A Fourth Movie? Here's What We Know | Epicstream",epicstream.com/article/will-there-be-365-days-4-netflix,"2023-03-31 20:50:57","Jake Vyper","google - 99%",44.52,117,0,46%,15967,55%,58%,45%,2%,"Queries, Netflix",
34687,"The 8 Best Yuri Anime on Crunchyroll | Epicstream",epicstream.com/article/best-yuri-anime-on-crunchyroll,"2022-05-23 16:29:54","Aira Calina","google - 98%",85.98,478,0,38%,13154,46%,43%,36%,4%,Anime,
33103,"What Guitars Do They Use in Bocchi the Rock? | Epicstream",epicstream.com/article/what-guitars-do-they-use-in-bocchi-the-rock,"2022-12-30 20:35:15","Madalena Daleziou","google - 95%",32.27,171,0,42%,13831,50%,34%,37%,4%,"Anime, Queries",
31151,"Dr. Stone Season 4 Release Date News and Predictions | Epicstream",epicstream.com/article/dr-stone-season-4-release-date-news-predictions,"2023-05-30 16:24:03","R.Y., Tarun Mazumdar","google - 98%",38.29,138,0,19%,5907,23%,29%,17%,2%,"Anime, Queries, Dr. Stone",
30700,"10 Best Romance Anime With a Happy Ending | Epicstream",epicstream.com/article/best-romance-anime-with-a-happy-ending,"2022-10-04 14:18:39","Tarun Mazumdar","google - 99%",43.74,17,82,62%,18975,61%,62%,62%,3%,Anime,
30507,"Who Does Fuutarou Uesugi Marry and End Up With in The Quintessential Quintuplets? | Epicstream",epicstream.com/article/who-does-fuutarou-uesugi-marry-and-end-up-with-in-quintessential-quintuplets,"2022-12-02 21:37:46","Margarita Rances","google - 98%",67.65,372,0,42%,12829,44%,42%,41%,2%,"Anime, Queries, Manga",
30324,"Who Dies and Who Survives in Hell's Paradise? | Epicstream",epicstream.com/article/who-dies-and-who-survives-hell-paradise,"2023-04-07 08:48:41","Madalena Daleziou","google - 99%",84.96,232,0,52%,15728,56%,42%,51%,3%,"Anime, Manga, Queries, Hell's Paradise: Jigokuraku",
30183,"Demon Slayer Season 3 Dub Release Date: When Will Swordsmith Village Arc Be Dubbed in English? | Epicstream",epicstream.com/article/demon-slayer-season-3-swordsmith-village-arc-english-dub-release-date,"2023-04-06 10:29:07","Cathlyn Melo","google - 99%",50.15,246,0,11%,3411,15%,19%,10%,1%,"Anime, Queries, Demon Slayer",
29523,"Will Thorfinn Ever Fight Again in Vinland Saga? | Epicstream",epicstream.com/article/will-thorfinn-fight-again-vinland-saga,"2023-03-09 08:47:49","Cathlyn Melo","google - 100%",74.47,284,0,50%,14854,47%,64%,51%,5%,"Anime, Manga, Queries, Vinland Saga",
