"Google United Kingdom (London, England, United Kingdom), interface language: English"
Keyword,URL,Tags,"Search vol.",2025-12-31,Dynamics,2026-01-03,Dynamics,2026-01-06,Dynamics,2026-01-09,Dynamics,2026-01-12,Dynamics,2026-01-13,Dynamics,2026-01-14,Dynamics,2026-01-15,Dynamics,2026-01-16,Dynamics,2026-01-17,Dynamics,2026-01-18,Dynamics,2026-01-19,Dynamics,2026-01-20,Dynamics,2026-01-21,Dynamics,2026-01-22,Dynamics,2026-01-23,Dynamics,2026-01-24,Dynamics,2026-01-25,Dynamics,2026-01-26,Dynamics,2026-01-27,Dynamics,2026-01-28,Dynamics,2026-01-29,Dynamics,2026-01-30,Dynamics,2026-01-31,Dynamics
"fruit & veg deliveries",https://www.fruit4london.co.uk/,,1600,4,0,4,0,3,1,3,0,4,-1,4,0,4,0,3,1,3,0,2,1,2,0,3,-1,3,0,3,0,3,0,4,-1,4,0,5,-1,5,0,5,0,4,1,5,-1,4,1,4,0
"delivery fruit and veg",https://www.fruit4london.co.uk/,,1600,3,0,3,0,4,-1,1,3,3,-2,3,0,2,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,1,0,1,0,1,0
"fruit baskets as gifts",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,590,1,0,1,0,2,-1,1,1,2,-1,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0
"fresh fruit and veg delivery",https://www.fruit4london.co.uk/,,590,3,0,3,0,3,0,1,2,3,-2,3,0,3,0,1,2,1,0,1,0,1,0,1,0,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit delivery",https://www.fruit4london.co.uk/,"Current targets",470,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"get well fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets-thank-you,,390,5,0,5,0,4,1,4,0,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1
"fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,360,1,0,1,0,1,0,1,0,2,-1,1,1,2,-1,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"local fruit and veg delivery",https://www.fruit4london.co.uk/,,320,5,0,6,-1,8,-2,1,7,7,-6,4,3,4,0,1,3,1,0,1,0,1,0,3,-2,4,-1,4,0,4,0,1,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit and veg box delivery near me",https://www.fruit4london.co.uk/,,320,6,0,6,0,8,-2,5,3,7,-2,7,0,8,-1,6,2,6,0,6,0,6,0,6,0,6,0,4,2,8,-4,3,5,4,-1,3,1,4,-1,4,0,4,0,4,0,2,2,4,-2
"fruit baskets near me",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,320,2,0,1,1,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0
"office fruit delivery",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",320,3,0,3,0,3,0,3,0,4,-1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,3,0,3,0,4,-1,4,0,4,0,4,0,4,0,3,1,3,0,3,0,3,0
"fruit and veg box delivery",https://www.fruit4london.co.uk/,,260,9,0,13,-4,11,2,7,4,14,-7,14,0,13,1,7,6,7,0,7,0,6,1,6,0,7,-1,6,1,8,-2,6,2,6,0,5,1,6,-1,5,1,6,-1,6,0,5,1,5,0
"fruit baskets delivered uk",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,170,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"office fruit",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",170,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
"fruit delivery london",https://www.fruit4london.co.uk/,"Current targets",170,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit and veg delivery",https://www.fruit4london.co.uk/,,150,4,0,3,1,3,0,1,2,4,-3,4,0,4,0,1,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",140,3,0,3,0,5,-2,4,1,5,-1,4,1,4,0,3,1,3,0,4,-1,4,0,4,0,4,0,4,0,4,0,5,-1,5,0,4,1,4,0,4,0,4,0,5,-1,4,1,3,1
"fruit baskets london uk",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,110,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit veg box delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,110,7,0,7,0,47,-40,11,36,8,3,12,-4,8,4,8,0,7,1,7,0,4,3,14,-10,14,0,12,2,13,-1,10,3,10,0,68,-58,70,-2,-,0,24,76,-,0,-,0,11,89
"office fruit delivery london",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",90,3,0,3,0,3,0,2,1,2,0,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,2,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1
"fruit delivery to office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",70,4,0,4,0,5,-1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,4,-1,4,0,4,0
"home fruit delivery",https://www.fruit4london.co.uk/,,40,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,-2,2,1,2,0,2,0,1,1,1,0,1,0
"fruit and veg deliveries",https://www.fruit4london.co.uk/,,10,5,0,6,-1,6,0,1,5,5,-4,12,-7,5,7,2,3,2,0,1,1,2,-1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
"Office fruit delivery uk",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,0,3,-1,3,0
"fruit for office delivery",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,2,0,3,-1,3,0,2,1,3,-1,3,0,3,0,3,0,2,1,2,0,4,-2,4,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
"fruit baskets gifts",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,1,0,1,0,2,-1,1,1,2,-1,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0
"fresh fruit for office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,0,2,0,2,0,2,0,3,-1,3,0,2,1,2,0,3,-1,2,1,3,-1
"gift and fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fresh fruit delivery to office",https://www.fruit4london.co.uk/,"Current targets",10,2,0,2,0,2,0,1,1,3,-2,2,1,3,-1,1,2,1,0,1,0,2,-1,3,-1,3,0,1,2,1,0,1,0,1,0,3,-2,3,0,2,1,1,1,1,0,1,0,1,0
"weekly fruit delivery to office",https://www.fruit4london.co.uk/pages/office-delivery,"Current targets",10,3,0,2,1,3,-1,2,1,2,0,2,0,2,0,2,0,3,-1,3,0,3,0,3,0,3,0,3,0,3,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,5,-3,4,1
"fruit for offices london",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,3,-1,3,0,2,1,2,0,3,-1,2,1,3,-1,2,1,3,-1,3,0,2,1,2,0,3,-1,2,1,2,0,2,0,2,0
"fruit baskets for delivery",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,1,1,1,0
"weekly office fruit delivery",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,2,1,3,-1
"gift fruit baskets",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,1,0,1,0,2,-1,1,1,2,-1,2,0,2,0,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,2,0,2,0,2,0,2,0,2,0,2,0
"fruit and veg delivery near me",https://www.fruit4london.co.uk/,,10,3,0,3,0,3,0,1,2,3,-2,3,0,3,0,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit baskets delivered",https://www.fruit4london.co.uk/pages/fruit-gift-baskets,,10,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,1,0
"home fruit delivery london",https://www.fruit4london.co.uk/,"Current targets",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
