"Google United Kingdom, interface language: English"
Keyword,URL,Tags,"Search vol.",2025-12-31,Dynamics,2026-01-03,Dynamics,2026-01-06,Dynamics,2026-01-09,Dynamics,2026-01-12,Dynamics,2026-01-13,Dynamics,2026-01-14,Dynamics,2026-01-15,Dynamics,2026-01-16,Dynamics,2026-01-17,Dynamics,2026-01-18,Dynamics,2026-01-19,Dynamics,2026-01-20,Dynamics,2026-01-21,Dynamics,2026-01-22,Dynamics,2026-01-23,Dynamics,2026-01-24,Dynamics,2026-01-25,Dynamics,2026-01-26,Dynamics,2026-01-27,Dynamics,2026-01-28,Dynamics,2026-01-29,Dynamics,2026-01-30,Dynamics,2026-01-31,Dynamics
"fruit delivery",https://www.fruit4london.co.uk/,"Current targets",470,21,0,22,-1,28,-6,18,10,24,-6,20,4,23,-3,16,7,18,-2,20,-2,20,0,26,-6,28,-2,20,8,21,-1,22,-1,22,0,22,0,23,-1,25,-2,23,2,17,6,17,0,16,1
"fruit delivery london",https://www.fruit4london.co.uk/,"Current targets",170,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"office fruit delivery",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",320,13,0,13,0,11,2,11,0,11,0,13,-2,11,2,13,-2,12,1,13,-1,13,0,13,0,10,3,10,0,10,0,10,0,10,0,11,-1,13,-2,13,0,13,0,13,0,13,0,13,0
"office fruit delivery london",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",90,3,0,3,0,3,0,2,1,2,0,2,0,2,0,4,-2,4,0,4,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,4,0,4,0,2,2,2,0,2,0,2,0
"home fruit delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,40,11,0,14,-3,15,-1,16,-1,3,13,3,0,3,0,24,-21,22,2,19,3,20,-1,3,17,3,0,2,1,2,0,2,0,2,0,21,-19,20,1,19,1,20,-1,19,1,19,0,17,2
"home fruit delivery london",https://www.fruit4london.co.uk/,"Current targets",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit office",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",140,9,0,9,0,9,0,10,-1,10,0,10,0,10,0,11,-1,14,-3,16,-2,10,6,12,-2,14,-2,12,2,50,-38,9,41,9,0,21,-12,22,-1,11,11,22,-11,23,-1,23,0,9,14
"office fruit",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",170,12,0,14,-2,12,2,12,0,15,-3,12,3,11,1,12,-1,16,-4,16,0,15,1,11,4,12,-1,11,1,12,-1,12,0,12,0,12,0,11,1,12,-1,12,0,12,0,12,0,13,-1
"weekly office fruit delivery",https://www.fruit4london.co.uk/products/office-fruit-box,"Current targets",10,3,0,4,-1,13,-9,12,1,13,-1,12,1,13,-1,13,0,13,0,13,0,13,0,13,0,5,8,4,1,4,0,4,0,4,0,5,-1,5,0,5,0,30,-25,37,-7,5,32,5,0
"fruit for offices london",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,2,0,2,0,3,-1,3,0,3,0,2,1,2,0,3,-1,3,0,2,1,2,0,3,-1,3,0,3,0,3,0,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
