"Google United Kingdom (London, England, United Kingdom), interface language: English"
Keyword,URL,Tags,"Search vol.",2026-02-01,Dynamics,2026-02-02,Dynamics,2026-02-03,Dynamics,2026-02-04,Dynamics,2026-02-05,Dynamics,2026-02-06,Dynamics,2026-02-07,Dynamics,2026-02-08,Dynamics,2026-02-09,Dynamics,2026-02-10,Dynamics,2026-02-11,Dynamics,2026-02-12,Dynamics,2026-02-13,Dynamics,2026-02-14,Dynamics,2026-02-15,Dynamics,2026-02-16,Dynamics,2026-02-17,Dynamics,2026-02-18,Dynamics,2026-02-19,Dynamics,2026-02-20,Dynamics,2026-02-21,Dynamics,2026-02-22,Dynamics,2026-02-23,Dynamics,2026-02-24,Dynamics,2026-02-25,Dynamics,2026-02-26,Dynamics,2026-02-27,Dynamics,2026-02-28,Dynamics
"fruit delivery",https://www.fruit4london.co.uk/,"Current targets",470,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,5,-3,4,1,4,0,3,1,4,-1,1,3,1,0,1,0,1,0,4,-3,3,1,1,2,4,-3
"fruit delivery london",https://www.fruit4london.co.uk/,"Current targets",170,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,-3,3,1,4,-1,3,1,1,2,1,0,1,0,1,0,1,0,4,-3,1,3,1,0,4,-3
"office fruit delivery",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",320,3,0,3,0,3,0,1,2,3,-2,3,0,3,0,4,-1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,1,3,0,4,-1,4,0,4,0,4,0,4,0,4,0,4,0,2,2,2,0,2,0,1,1
"office fruit delivery london",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",90,1,0,2,-1,3,-1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,2,-1,3,-1,3,0,4,-1,4,0,4,0,2,2,1,1,1,0,1,0,1,0
"home fruit delivery",https://www.fruit4london.co.uk/pages/home-fruit-and-vegetable-boxes,,40,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,1,0,1,0,1,0,2,-1,1,1,2,-1,2,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"home fruit delivery london",https://www.fruit4london.co.uk/,"Current targets",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,-1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"fruit office",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",140,3,0,3,0,3,0,3,0,4,-1,2,2,4,-2,4,0,3,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,-1,4,0,3,1,3,0,3,0,3,0
"office fruit",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",170,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,2,1,0,1,0,2,-1,2,0,3,-1,2,1,2,0,3,-1,2,1,2,0,2,0,3,-1,3,0
"weekly office fruit delivery",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,3,0,3,0,3,0,4,-1,17,-13,4,13,4,0,4,0,4,0,4,0,5,-1,5,0,4,1,4,0,4,0,3,1,2,1,4,-2,4,0,4,0,5,-1,4,1,5,-1,4,1,1,3,1,0,1,0,1,0
"fruit for offices london",https://www.fruit4london.co.uk/pages/office-fruit-boxes,"Current targets",10,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,1,1,0,2,-1,1,1,1,0,1,0,2,-1,2,0
