group,score,keyword,sourceUrl,sourceTitle,destinationUrl,snippet,gscImpressions,gscClicks,gscPosition,status,notes
"","7","garden sheds","https://www.buyshedsdirect.co.uk/blog/post/overlap-or-tongue-and-groove-shed","Overlap or Tongue and Groove Shed? Features & Differences | Buy Sheds Direct","https://buyshedsdirect.co.uk/sheds","…ect Team You may have heard of “overlap” and “tongue and groove” in relation to garden sheds. But what are they exactly and which is best to meet your needs? Re…","","","","Opportunity found",""
"","7","garden sheds","https://www.buyshedsdirect.co.uk/blog/post/types-of-shed","Types of Shed | Wood, Metal or Plastic? Choosing The Best Shed Styles","https://buyshedsdirect.co.uk/sheds","…ng guide.The three main types of shed (by material)The three main shed types of garden sheds by material include wooden, metal and plastic (or resin). Most shed…","","","","Opportunity found",""
"","6","shed","https://www.buyshedsdirect.co.uk/paypal-credit-payments","Paypal Credit Options | Finance | Buy Sheds Direct","https://buyshedsdirect.co.uk/sheds","PayPal Credit Payments & Finance Options at Buy Sheds DirectBuy now, pay later with PayPal CreditTo help you spread the cost of…","","","","Opportunity found",""
"","6","shed","https://www.buyshedsdirect.co.uk/forest-pro-installation-service","Forest Pro-Installation Service | Buy Sheds Direct","https://buyshedsdirect.co.uk/sheds","…eated (tanalised) 3” x 2” timber joists nailed together to form a frame. Timber shed bases are also available to buy pre-made – please make sure you purchase on…","","","","Opportunity found",""
"","6","shed","https://www.buyshedsdirect.co.uk/trade-and-wholesale-enquiries","Shed Suppliers | Trade & Wholesale Market | Buy Sheds Direct","https://buyshedsdirect.co.uk/sheds","Bulk Discount for UK housebuilders, local authorities, shed/ fence distributors and re-sellers! We are the UK’s leading supplier of she…","","","","Opportunity found",""
"","6","shed","https://www.buyshedsdirect.co.uk/about-us","About us","https://buyshedsdirect.co.uk/sheds","About UsWelcome to Buy Sheds Direct. Established in 2005, we are one of the UK's leading online retaile…","","","","Opportunity found",""
"","6","shed","https://www.buyshedsdirect.co.uk/planning-permission","Planning Permission for Garden Buildings | Buy Sheds Direct","https://buyshedsdirect.co.uk/sheds","Planning Permission When you're looking to buy a new shed, summerhouse, log cabin, garden office or greenhouse, you might start to wo…","","","","Opportunity found",""
"","6","shed","https://www.buyshedsdirect.co.uk/cookies-policy","Cookie Policy | Buy Sheds Direct","https://buyshedsdirect.co.uk/sheds","Cookie Policy At Buy Sheds Direct, we are committed to maintaining the confidence and trust of our we…","","","","Opportunity found",""
"","6","shed","https://www.buyshedsdirect.co.uk/security-and-data-protection","Security & Data Protection | Buy Sheds Direct","https://buyshedsdirect.co.uk/sheds","Security and Data Protection The website is published on an ""as is"" basis. We accept no liability for functions contained within…","","","","Opportunity found",""
"","6","shed","https://www.buyshedsdirect.co.uk/affiliates","Buy Sheds Direct Affilliate Programme","https://buyshedsdirect.co.uk/sheds","Affiliate ProgrammeLink to Buy Sheds Direct and Start Earning £££ TodayDo you have a website or a blog? If so,…","","","","Opportunity found",""
