group,score,keyword,sourceUrl,sourceTitle,destinationUrl,snippet,gscImpressions,gscClicks,gscPosition,status,notes
"","7","shed","https://www.buyshedsdirect.co.uk/blog/category/grow-your-own","Grow Your Own | Gardening Blogs | Garden Experts","https://buyshedsdirect.co.uk/sheds","Grow Your Own Posted: February 06, 2026 Categories: Author: The Buy Sheds Direct Team Learn how to fill large planters correctly. From choosing loca…","","","","Opportunity found",""
"","7","shed","https://www.buyshedsdirect.co.uk/blog/category/outdoor-living","Outdoor Living | Garden Lifestyle | Blogs","https://buyshedsdirect.co.uk/sheds","…ing to interest you here. Posted: February 05, 2026 Categories: Author: The Buy Sheds Direct Team Browse 20+ raised garden bed ideas. From U-shaped beds to upcy…","","","","Opportunity found",""
"","7","shed","https://www.buyshedsdirect.co.uk/blog/category/outdoor-living?page=4","Page 4 - Outdoor Living | Garden Lifestyle | Blogs","https://buyshedsdirect.co.uk/sheds","…o interest you here. Posted: January 15, 2025 Categories: , , , Author: The Buy Sheds Direct Team Discover our ultimate guide to garden room insulation. Underst…","","","","Opportunity found",""
"","7","shed","https://www.buyshedsdirect.co.uk/blog/post/fathers-day-giveaway-2025","Father's Day Giveaway 2025 | Buy Sheds Direct","https://buyshedsdirect.co.uk/sheds","Father's Day Giveaway 2025 Posted: June 06, 2025 Categories: Author: The Buy Sheds Direct Team To celebrate Father's Day, we're giving one lucky person the o…","","","","Opportunity found",""
"","7","shed","https://www.buyshedsdirect.co.uk/blog/post/forest-garden-partners-with-alan-titchmarshs-new-youtube-channel","Forest Garden Partners with Alan Titchmarsh on YouTube | BSD","https://buyshedsdirect.co.uk/sheds","…hmarsh’s New YouTube Channel Posted: April 07, 2025 Categories: Author: The Buy Sheds Direct Team One of our key suppliers, Forest Garden, has partnered up with…","","","","Opportunity found",""
"","7","shed","https://www.buyshedsdirect.co.uk/blog/post/huge-savings-on-premium-garden-buildings","Huge Savings on Premium Garden Buildings | Buy Sheds Direct","https://buyshedsdirect.co.uk/sheds","…arden Buildings This May Posted: May 08, 2025 Categories: , , , Author: The Buy Sheds Direct Team Premium garden buildings bring a touch of luxury, comfort and…","","","","Opportunity found",""
"","7","shed","https://www.buyshedsdirect.co.uk/blog/category/greenhouses?page=3","Page 3 - Greenhouses | Gardening | Blogs","https://buyshedsdirect.co.uk/sheds","…equipment from the cold. Posted: October 24, 2019 Categories: , Author: The Buy Sheds Direct Team Here are our top 10 tips to help you make the most of your Nov…","","","","Opportunity found",""
"","7","shed","https://www.buyshedsdirect.co.uk/blog/category/greenhouses?page=5","Page 5 - Greenhouses | Gardening | Blogs","https://buyshedsdirect.co.uk/sheds","…in our Greenhouse Blogs. Posted: October 01, 2015 Categories: , Author: The Buy Sheds Direct Team Just because many plants are losing their leaves and preparing…","","","","Opportunity found",""
"","7","shed","https://www.buyshedsdirect.co.uk/blog/post/6-super-products-to-prepare-your-garden-for-the-school-summer-holidays","6 Super Products for the School Summer Holidays | BSD Blog","https://buyshedsdirect.co.uk/sheds","…the School Summer Holidays Posted: June 23, 2023 Categories: , Author: The Buy Sheds Direct Team We’re sure the thought has already crossed your mind that the…","","","","Opportunity found",""
"","7","shed","https://www.buyshedsdirect.co.uk/blog/category/playhouses?page=2","Page 2 - Playhouses | Children’s Playhouses | Blogs","https://buyshedsdirect.co.uk/sheds","…the fresh air and exercising. Posted: July 13, 2018 Categories: Author: The Buy Sheds Direct Team The benefits of outdoor play for children are numerous, and we…","","","","Opportunity found",""
