"Task ID","Task Name","Assignee","Due Date","Retime frequency (drop down)","CMS LINK (url)","Content Type (drop down)","Genre ES (labels)"
"862jmtygq","Here's All the DC Shows and Movies Releasing in 2023","[]","Tuesday, April 18th 2023","","","",""
"862jmu2p8","The Multiverse Saga Movies, Series, and Everything We Need To Know About the Next Marvel Saga","[]","Thursday, April 20th 2023","","","",""
"862jmu0y2","Marvel's Blade Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Marvel Movie","[]","","","","",""
"862jmu2p9","Avengers: The Kang Dynasty Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Marvel Movie","[]","","","","",""
"862jmu2pb","Avengers: Secret Wars Release Date, Cast, Plot, Trailer, and Everything We Need To Know About the Marvel Movie","[]","","","","",""
"862jmu2pc","Is Marvel's The Multiverse Saga A Movie?","[]","","","","",""
"862jmu2pd","All The MCU Movies And TV Shows Confirmed For Release in 2023","[]","","","","",""
"862jmu2pe","Will The MCU Replace Jonathan Majors As Kang After Actor's Arrest?","[]","","","","",""
"862jmummd","Why Iron Man is the Best Avenger of All Time","[]","","","","",""
"862jmummf","Why Aquaman is Bulletproof Explained","[]","","","","",""
"862jmummg","Ending of Red Notice Explained","[]","","","","",""
"862jmummj","Is Netflix's Daredevil Now MCU Canon After Kingpin's Arrival in Hawkeye?","[]","","","","",""
"862jmummm","All 10 Batman Movies Ranked Worst to Best","[]","","","","",""
"862jmummp","Where to Watch and Stream ETERNALS Free Online - JANUARY 2022","[]","","","","",""
"862jmummq","Which Non-MCU Marvel Movies Are Now Canon Within the MCU?","[]","","","","",""
"862jmummr","What's Better: Disney Plus Star Wars or Marvel Shows?","[]","","","","",""
"862jmummt","Can Magneto Move Thor's Hammer, Even if He Isn't Worthy?","[]","","","","",""
"862jmummx","Is Daredevil Blind Explained","[]","","","","",""
"862jmummy","Is Wolverine Marvel or DC?","[]","","","","",""
"862jmummz","Is Wonder Woman Marvel or DC?","[]","","","","",""
"862jmumn0","Is Spider-Man On Disney Plus?","[]","","","","",""
"862jmumn1","How Did Flash Get His Powers?","[]","","","","",""
"862jmumn2","Where does Spider-Man live?","[]","","","","",""
"862jmumn3","Sinister Six Members: Who Are They?","[]","","","","",""
"862jmum3q","She-Hulk: Attorney At Law Finale MCU Easter Eggs and Comic Book References","[]","","","","",""
"862jmum3v","Is She-Hulk: Attorney At Law Worth Watching?","[]","","","","",""
"862jmum3y","She-Hulk: Attorney At Law Finale Ending Explained","[]","","","","",""
"862jmum41","She-Hulk: Attorney At Law Season 2: Is The Series Renewed?","[]","","","","",""
"862jmum43","She-Hulk: Attorney At Law Finale: Is There A Post-Credits Scene?","[]","","","","",""
"862jmum47","She-Hulk: Attorney At Law: What is KEVIN?","[]","","","","",""
"862jmuke5","Venom 3 Release Date, Cast, Plot, Trailer, News, and Everything You Need to Know","[]","","","","",""
"862jmujy6","How Did Spider-Man Get His Powers?","[]","","","","",""
"862jmujy8","Is Spider-Man Marvel or DC?","[]","","","","",""
"862jmujyb","Spider-Man Vs Venom: Who Would Win?","[]","","","","",""
"862jmujyc","Where does Spider-Man live?","[]","","","","",""
"862jmujyf","Is Spider-Man On Disney Plus?","[]","","","","",""
"862jmujyh","Spider-Man Vs Venom: Who Would Win?","[]","","","","",""
"862jmujyk","Is Spider-Man: No Way Home Going to be on Disney Plus?","[]","","","","",""
"862jmujyn","Where to Watch and Stream Spider-Man: Far from Home Free Online - October 2021","[]","","","","",""
"862jmuk4c","The Ending of Spider-Man: No Way Home Explained","[]","","","","",""
"862jmuk6y","Spider-Man: Across the Spider-Verse Release Date, Cast, Plot, Trailer, News, and Everything You Need to Know","[]","","","","",""
"862jmujrh","How Strong is Uatu in the Marvel Universe Explained? Analysis from What If..? Series","[]","","","","",""
"862jmujrk","Is There a Post-Credits Scene in Marvel's What If..? Finale","[]","","","","",""
"862jmujrn","What Solution Did The Watcher Have to Save the Multiverse in Marvel's What If..? Finale","[]","","","","",""
"862jmujrp","Who are the Guardians of the Multiverse in Marvel's What If..? Finale","[]","","","","",""
"862jmujrq","Is Marvel's What If...? Worth Watching?","[]","","","","",""
