URL,UR,Traffic,Traffic value,Referring domains,Keywords,Top keyword,Top keyword: Volume,Top keyword: Position,Page type
https://www.buyshedsdirect.co.uk/blog/post/clever-storage-ideas-for-small-sheds,5,801,160.24,6,74,shed storage ideas,1000,3,
https://www.buyshedsdirect.co.uk/blog/post/what-is-a-man-cave-shed-ideas-budget,0,498,88.07,0,46,man cave ideas,2400,4,
https://www.buyshedsdirect.co.uk/blog/post/how-to-lay-slab-base-for-sheds,0,347,90.85,0,60,do i need a shed base on slabs,150,2,
https://www.buyshedsdirect.co.uk/blog/post/fence-height-between-neighbours-law,0,282,89.40,0,128,fence height loopholes,700,10,
https://www.buyshedsdirect.co.uk/blog/post/can-you-put-a-shed-on-gravel,0,254,85.75,0,14,gravel shed base,150,2,
https://www.buyshedsdirect.co.uk/blog/post/firewood-log-storage-ideas,0,242,54.59,0,47,log storage outdoor,900,7,
https://www.buyshedsdirect.co.uk/blog/post/summer-house-ideas-uses-on-a-budget,4.5,237,170.08,9,33,summer house ideas,3200,7,
https://www.buyshedsdirect.co.uk/blog/post/creative-garden-seating-areas-ideas,0,220,72.47,0,42,garden seating ideas on a budget,150,1,
https://www.buyshedsdirect.co.uk/blog/post/hide-wheelie-bin-storage-ideas,0,203,27.65,0,43,wheelie bin storage ideas,500,5,
https://www.buyshedsdirect.co.uk/blog/post/ideas-for-a-long-narrow-garden-design,0,198,65.35,0,38,long narrow garden design,150,2,
https://www.buyshedsdirect.co.uk/blog/post/20-raised-garden-bed-ideas-and-designs,0,193,45.13,0,36,raised bed ideas,900,5,
https://www.buyshedsdirect.co.uk/blog/post/summer-house-paint-colour-ideas-to-brighten-up-garden,0,191,25.71,0,19,modern summer house colours,150,1,
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-shed,4.8,175,72.85,4,29,building a shed,800,5,
https://www.buyshedsdirect.co.uk/blog/post/filling-large-planters-what-to-add-for-drainage,0,175,8.91,2,31,how to fill a planter,90,1,
https://www.buyshedsdirect.co.uk/blog/post/levelling-a-shed-base-sloped-or-uneven-ground,0,172,49.63,0,31,shed base on uneven ground,80,2,
https://www.buyshedsdirect.co.uk/blog/post/how-to-build-a-shed-base-with-concrete-blocks,4.5,154,60.05,2,32,concrete blocks for shed base,100,2,
https://www.buyshedsdirect.co.uk/blog/post/shed-painting-ideas-paint-colours-for-sheds,0,149,25.73,0,44,shed colour ideas,450,5,
https://www.buyshedsdirect.co.uk/blog/post/how-to-insulate-a-garden-shed,0,130,31.29,0,32,insulating a shed,700,6,
https://www.buyshedsdirect.co.uk/blog/post/types-of-shed,0,129,36.08,0,25,what type of shed is best,90,2,
https://www.buyshedsdirect.co.uk/blog/post/best-climbing-plants-for-trellis,0,126,18.58,0,31,best plants for trellis,70,1,
https://www.buyshedsdirect.co.uk/blog/post/creative-outdoor-bar-ideas-garden-bar-seating,0,123,37.26,0,29,outdoor bar ideas,800,3,
https://www.buyshedsdirect.co.uk/blog/post/top-garden-tool-storage-ideas-solutions,0,118,24.83,0,21,garden tool storage ideas,250,2,
https://www.buyshedsdirect.co.uk/blog/post/top-5-decorative-garden-fence-idea,0,115,50.30,0,39,fencing styles,400,5,
https://www.buyshedsdirect.co.uk/blog/post/cheap-vs-best-garden-storage,0,111,29.65,0,15,best garden storage box,200,3,
https://www.buyshedsdirect.co.uk/blog/post/how-to-insulate-a-garden-log-cabin,0,108,44.38,0,9,insulate log cabin,80,2,
https://www.buyshedsdirect.co.uk/blog/post/how-to-store-bicycles-outside-garage-shed-and-without,0,108,30.20,0,19,outdoor bike storage,3600,12,
